case_id,condition_id,exact_sparse_arrays_equal,FG_semantic_equal,BG_semantic_equal,grouped_membership_equal,annotation_semantic_hash_equal
coronacases_004,C50_COH,True,True,True,True,True
coronacases_004,C50_DIS,True,True,True,True,True
coronacases_004,C50_FRG,True,True,True,True,True
coronacases_004,C100_COH,True,True,True,True,True
coronacases_004,C100_DIS,True,True,True,True,True
coronacases_004,C100_FRG,True,True,True,True,True
coronacases_008,C50_COH,True,True,True,True,True
coronacases_008,C50_DIS,True,True,True,True,True
coronacases_008,C50_FRG,True,True,True,True,True
coronacases_008,C100_COH,True,True,True,True,True
coronacases_008,C100_DIS,True,True,True,True,True
coronacases_008,C100_FRG,True,True,True,True,True
radiopaedia_14_85914_0,C50_COH,True,True,True,True,True
radiopaedia_14_85914_0,C50_DIS,True,True,True,True,True
radiopaedia_14_85914_0,C50_FRG,True,True,True,True,True
radiopaedia_14_85914_0,C100_COH,True,True,True,True,True
radiopaedia_14_85914_0,C100_DIS,True,True,True,True,True
radiopaedia_14_85914_0,C100_FRG,True,True,True,True,True
radiopaedia_27_86410_0,C50_COH,True,True,True,True,True
radiopaedia_27_86410_0,C50_DIS,True,True,True,True,True
radiopaedia_27_86410_0,C50_FRG,True,True,True,True,True
radiopaedia_27_86410_0,C100_COH,True,True,True,True,True
radiopaedia_27_86410_0,C100_DIS,True,True,True,True,True
radiopaedia_27_86410_0,C100_FRG,True,True,True,True,True
