batch_id,run_id,condition,outer_fold,seed,initialization_seed,shared_initialization_sha256,paired_plan_sha256,epoch,epoch_1based,logical_microbatches,successful_optimizer_steps_total,mean_loss,mean_partial_bce,mean_partial_dice_fp32,labelled_voxels_seen,foreground_voxels_seen,zero_label_microbatches,foreground_centered,background_centered,uniform_crop,amp_overflow_events,amp_retry_attempts,amp_scale_min,amp_scale_max,amp_scale_end,mean_preclip_grad_norm,max_preclip_grad_norm,learning_rate_end,epoch_seconds,peak_allocated_gb,peak_reserved_gb
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,0,1,120,60,2.389012935757637,1.970690316831072,0.4183226133386294,7893,4076,3,58,30,32,2,2,1024.0,4096.0,1024.0,79.54921385447184,257.5140075683594,0.00017999999999999998,28.84855565200087,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,1,2,120,120,1.002758387522772,0.6666403956711292,0.3361179937918981,7662,3841,0,58,25,37,0,0,1024.0,1024.0,1024.0,24.426673718293507,102.9253921508789,0.0002999445918673937,26.077931135001563,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,2,3,120,180,0.6525894641022508,0.39301371383480727,0.2595757499337196,8302,4182,1,62,30,28,0,0,1024.0,1024.0,1024.0,8.990728155771892,26.423683166503906,0.0002991142965839822,25.85677285699967,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,3,4,120,240,0.4480120337762249,0.28274098014226184,0.16527105470498402,8438,4568,0,68,30,22,0,0,1024.0,1024.0,1024.0,7.329238732655843,19.79522705078125,0.0002972930965702204,26.498166373999993,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,4,5,120,300,0.40875166168843863,0.22732710274188625,0.18142455865939458,8171,4259,1,61,29,30,0,0,1024.0,1024.0,1024.0,6.195638579130173,19.20868492126465,0.0002944932171711482,26.257819422000466,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,5,6,120,360,0.41467121444366056,0.2196797058362184,0.19499150862296422,8325,4438,0,57,32,31,0,0,1024.0,1024.0,1024.0,6.40390171011289,20.92280387878418,0.000290733453407337,26.030098612000074,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,6,7,120,420,0.41382372002505385,0.19453058668683904,0.21929313540458678,8062,4038,1,48,38,34,0,0,1024.0,1024.0,1024.0,6.099978427092235,32.098541259765625,0.0002860390438077423,26.110523623001427,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,7,8,120,480,0.324598366489469,0.13614105330658882,0.1884573151667913,8077,4173,0,66,25,29,0,0,1024.0,1024.0,1024.0,4.867512752115727,15.529916763305664,0.00028044150098859483,26.14777039100045,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,8,9,120,540,0.31258035033821824,0.14519868496399796,0.16738166511058808,8122,4101,1,64,34,22,0,0,1024.0,1024.0,1024.0,5.63838624805212,17.42731475830078,0.0002739784001156218,26.089780080999844,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,9,10,120,600,0.2997814603988066,0.13536518153404511,0.16441627939542133,8183,4291,0,54,40,26,0,0,1024.0,1024.0,1024.0,5.224016932646434,33.07327651977539,0.0002666931266696063,26.052455492999798,1.3336772918701172,1.361328125
