batch_order,batch_id,outer_fold,seed,initialization_seed,conditions,run_count,training_cases,heldout_cases,training_case_count,heldout_case_count,optimizer_steps_per_run,total_optimizer_steps_in_batch,execution_status
1,fold0_seed17,0,17,1442930804,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,2400,14400,PREDICTIONS_FROZEN
2,fold0_seed29,0,29,489370112,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,2400,14400,PENDING
3,fold0_seed43,0,43,3037986844,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,2400,14400,PENDING
4,fold1_seed17,1,17,3864554962,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_002;coronacases_003;coronacases_005;coronacases_006;coronacases_007;coronacases_009;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_7_85703_0,coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_4_85506_1,12,4,2400,14400,PENDING
5,fold1_seed29,1,29,1864415079,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_002;coronacases_003;coronacases_005;coronacases_006;coronacases_007;coronacases_009;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_7_85703_0,coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_4_85506_1,12,4,2400,14400,PENDING
6,fold1_seed43,1,43,1250903718,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_002;coronacases_003;coronacases_005;coronacases_006;coronacases_007;coronacases_009;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_7_85703_0,coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_4_85506_1,12,4,2400,14400,PENDING
7,fold2_seed17,2,17,2061093944,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_002;coronacases_003;coronacases_005;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_40_86625_0;radiopaedia_4_85506_1,coronacases_006;coronacases_007;radiopaedia_36_86526_0;radiopaedia_7_85703_0,12,4,2400,14400,PENDING
8,fold2_seed29,2,29,2393148140,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_002;coronacases_003;coronacases_005;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_40_86625_0;radiopaedia_4_85506_1,coronacases_006;coronacases_007;radiopaedia_36_86526_0;radiopaedia_7_85703_0,12,4,2400,14400,PENDING
9,fold2_seed43,2,43,2566699473,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_001;coronacases_002;coronacases_003;coronacases_005;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_40_86625_0;radiopaedia_4_85506_1,coronacases_006;coronacases_007;radiopaedia_36_86526_0;radiopaedia_7_85703_0,12,4,2400,14400,PENDING
10,fold3_seed17,3,17,2340698924,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_002;coronacases_005;coronacases_006;coronacases_007;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_36_86526_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_001;coronacases_003;coronacases_009;radiopaedia_40_86625_0,12,4,2400,14400,PENDING
11,fold3_seed29,3,29,2796745829,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_002;coronacases_005;coronacases_006;coronacases_007;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_36_86526_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_001;coronacases_003;coronacases_009;radiopaedia_40_86625_0,12,4,2400,14400,PENDING
12,fold3_seed43,3,43,3973010882,C50_COH;C50_DIS;C50_FRG;C100_COH;C100_DIS;C100_FRG,6,coronacases_002;coronacases_005;coronacases_006;coronacases_007;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_29_86490_1;radiopaedia_29_86491_1;radiopaedia_36_86526_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_001;coronacases_003;coronacases_009;radiopaedia_40_86625_0,12,4,2400,14400,PENDING
