run_id,condition,outer_fold,seed,initialization_seed,training_cases,heldout_cases,training_case_count,heldout_case_count,epochs,microbatches_per_epoch,accumulation_steps,optimizer_steps,checkpoint_selection,paired_initialization_across_conditions,paired_schedule_across_conditions,paired_augmentation_rng_across_conditions,dense_training_labels,dense_heldout_outcomes_open_during_fit,training_authorized,sanity_gate_dependency,execution_status,final_dense_outcome_access_during_fit,paired_batch_id,paired_batch_order,condition_execution_order_within_batch
cova3d_c50_coh_fold0_seed17,C50_COH,0,17,1442930804,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed17,1,1
cova3d_c50_dis_fold0_seed17,C50_DIS,0,17,1442930804,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed17,1,2
cova3d_c50_frg_fold0_seed17,C50_FRG,0,17,1442930804,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed17,1,3
cova3d_c100_coh_fold0_seed17,C100_COH,0,17,1442930804,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed17,1,4
cova3d_c100_dis_fold0_seed17,C100_DIS,0,17,1442930804,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed17,1,5
cova3d_c100_frg_fold0_seed17,C100_FRG,0,17,1442930804,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed17,1,6
cova3d_c50_coh_fold0_seed29,C50_COH,0,29,489370112,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed29,2,1
cova3d_c50_dis_fold0_seed29,C50_DIS,0,29,489370112,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed29,2,2
cova3d_c50_frg_fold0_seed29,C50_FRG,0,29,489370112,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed29,2,3
cova3d_c100_coh_fold0_seed29,C100_COH,0,29,489370112,coronacases_001;coronacases_003;coronacases_006;coronacases_007;coronacases_009;coronacases_010;radiopaedia_10_85902_1;radiopaedia_10_85902_3;radiopaedia_36_86526_0;radiopaedia_40_86625_0;radiopaedia_4_85506_1;radiopaedia_7_85703_0,coronacases_002;coronacases_005;radiopaedia_29_86490_1;radiopaedia_29_86491_1,12,4,40,120,2,2400,FINAL_EPOCH_ONLY,True,True,True,False,False,True,PASS_09E,PREDICTIONS_FROZEN,False,fold0_seed29,2,4
