case_id,role,coverage_fraction,selected_components,budget,same_component_set,same_component_quota,same_background_all_six
coronacases_001,final_outer_cv,0.5,22,180,True,True,True
coronacases_001,final_outer_cv,1.0,43,180,True,True,True
coronacases_002,final_outer_cv,0.5,14,144,True,True,True
coronacases_002,final_outer_cv,1.0,27,144,True,True,True
coronacases_003,final_outer_cv,0.5,20,261,True,True,True
coronacases_003,final_outer_cv,1.0,39,261,True,True,True
coronacases_004,permanent_development,0.5,4,80,True,True,True
coronacases_004,permanent_development,1.0,8,80,True,True,True
coronacases_005,final_outer_cv,0.5,2,40,True,True,True
coronacases_005,final_outer_cv,1.0,3,40,True,True,True
coronacases_006,final_outer_cv,0.5,1,10,True,True,True
coronacases_006,final_outer_cv,1.0,2,10,True,True,True
coronacases_007,final_outer_cv,0.5,5,41,True,True,True
coronacases_007,final_outer_cv,1.0,9,41,True,True,True
coronacases_008,permanent_development,0.5,17,202,True,True,True
coronacases_008,permanent_development,1.0,33,202,True,True,True
coronacases_009,final_outer_cv,0.5,5,48,True,True,True
coronacases_009,final_outer_cv,1.0,9,48,True,True,True
coronacases_010,final_outer_cv,0.5,3,20,True,True,True
coronacases_010,final_outer_cv,1.0,6,20,True,True,True
radiopaedia_10_85902_1,final_outer_cv,0.5,1,4,True,True,True
radiopaedia_10_85902_1,final_outer_cv,1.0,2,4,True,True,True
radiopaedia_10_85902_3,final_outer_cv,0.5,1,7,True,True,True
radiopaedia_10_85902_3,final_outer_cv,1.0,2,7,True,True,True
radiopaedia_14_85914_0,permanent_development,0.5,14,162,True,True,True
radiopaedia_14_85914_0,permanent_development,1.0,28,162,True,True,True
radiopaedia_27_86410_0,permanent_development,0.5,7,53,True,True,True
radiopaedia_27_86410_0,permanent_development,1.0,13,53,True,True,True
radiopaedia_29_86490_1,final_outer_cv,0.5,1,20,True,True,True
radiopaedia_29_86490_1,final_outer_cv,1.0,2,20,True,True,True
radiopaedia_29_86491_1,final_outer_cv,0.5,2,12,True,True,True
radiopaedia_29_86491_1,final_outer_cv,1.0,3,12,True,True,True
radiopaedia_36_86526_0,final_outer_cv,0.5,17,110,True,True,True
radiopaedia_36_86526_0,final_outer_cv,1.0,33,110,True,True,True
radiopaedia_40_86625_0,final_outer_cv,0.5,6,49,True,True,True
radiopaedia_40_86625_0,final_outer_cv,1.0,12,49,True,True,True
radiopaedia_4_85506_1,final_outer_cv,0.5,15,180,True,True,True
radiopaedia_4_85506_1,final_outer_cv,1.0,30,180,True,True,True
radiopaedia_7_85703_0,final_outer_cv,0.5,2,16,True,True,True
radiopaedia_7_85703_0,final_outer_cv,1.0,4,16,True,True,True
