case_id,role,coverage_fraction,resolvable_components,limited_components,current_budget,min_required_if_resolvable_min3,total_common_capacity,all_resolvable_capacity_ge3,budget_meets_new_minimum,budget_within_common_capacity,simple_min3_feasible,resolvable_components_capacity_lt3
coronacases_001,final_outer_cv,0.5,20,2,180,62,180,True,True,True,True,
coronacases_001,final_outer_cv,1.0,39,4,180,121,338,False,True,True,False,1;10;29;30;31;38;51;53
coronacases_002,final_outer_cv,0.5,13,1,144,40,144,True,True,True,True,
coronacases_002,final_outer_cv,1.0,25,2,144,77,193,True,True,True,True,
coronacases_003,final_outer_cv,0.5,17,3,261,54,261,True,True,True,True,
coronacases_003,final_outer_cv,1.0,35,4,261,109,329,True,True,True,True,
coronacases_004,permanent_development,0.5,2,2,80,8,176,True,True,True,True,
coronacases_004,permanent_development,1.0,6,2,80,20,189,True,True,True,True,
coronacases_005,final_outer_cv,0.5,1,1,40,4,89,True,True,True,True,
coronacases_005,final_outer_cv,1.0,2,1,40,7,95,True,True,True,True,
coronacases_006,final_outer_cv,0.5,1,0,10,3,10,True,True,True,True,
coronacases_006,final_outer_cv,1.0,2,0,10,6,12,True,True,True,True,
coronacases_007,final_outer_cv,0.5,5,0,41,15,41,True,True,True,True,
coronacases_007,final_outer_cv,1.0,8,1,41,25,117,True,True,True,True,
coronacases_008,permanent_development,0.5,14,3,202,45,251,True,True,True,True,
coronacases_008,permanent_development,1.0,30,3,202,93,278,False,True,True,False,25;31;39
coronacases_009,final_outer_cv,0.5,4,1,48,13,66,True,True,True,True,
coronacases_009,final_outer_cv,1.0,8,1,48,25,72,False,True,True,False,1;2;3
coronacases_010,final_outer_cv,0.5,3,0,20,9,20,True,True,True,True,
coronacases_010,final_outer_cv,1.0,6,0,20,18,25,True,True,True,True,
radiopaedia_10_85902_1,final_outer_cv,0.5,1,0,4,3,4,True,True,True,True,
radiopaedia_10_85902_1,final_outer_cv,1.0,2,0,4,6,7,True,False,True,False,
radiopaedia_10_85902_3,final_outer_cv,0.5,1,0,7,3,7,True,True,True,True,
radiopaedia_10_85902_3,final_outer_cv,1.0,2,0,7,6,9,True,True,True,True,
radiopaedia_14_85914_0,permanent_development,0.5,13,1,162,40,162,True,True,True,True,
radiopaedia_14_85914_0,permanent_development,1.0,27,1,162,82,172,True,True,True,True,
radiopaedia_27_86410_0,permanent_development,0.5,7,0,53,21,53,True,True,True,True,
radiopaedia_27_86410_0,permanent_development,1.0,13,0,53,39,61,True,True,True,True,
radiopaedia_29_86490_1,final_outer_cv,0.5,0,1,20,1,26,True,True,True,True,
radiopaedia_29_86490_1,final_outer_cv,1.0,0,2,20,2,43,True,True,True,True,
radiopaedia_29_86491_1,final_outer_cv,0.5,2,0,12,6,12,True,True,True,True,
radiopaedia_29_86491_1,final_outer_cv,1.0,3,0,12,9,15,True,True,True,True,
radiopaedia_36_86526_0,final_outer_cv,0.5,16,1,110,49,110,True,True,True,True,
radiopaedia_36_86526_0,final_outer_cv,1.0,32,1,110,97,135,False,True,True,False,6;21
radiopaedia_40_86625_0,final_outer_cv,0.5,5,1,49,16,49,True,True,True,True,
radiopaedia_40_86625_0,final_outer_cv,1.0,10,2,49,32,71,False,True,True,False,2;5
radiopaedia_4_85506_1,final_outer_cv,0.5,12,3,180,39,180,True,True,True,True,
radiopaedia_4_85506_1,final_outer_cv,1.0,26,4,180,82,232,True,True,True,True,
radiopaedia_7_85703_0,final_outer_cv,0.5,2,0,16,6,16,True,True,True,True,
radiopaedia_7_85703_0,final_outer_cv,1.0,4,0,16,12,20,True,True,True,True,
