case_id,role,coverage_fraction,selected_components,case_coh_equals_dis,case_coh_equals_frg,case_dis_equals_frg,whole_case_alias_any,resolvable_components_with_any_alias
coronacases_001,final_outer_cv,0.5,22,False,False,False,False,0
coronacases_001,final_outer_cv,1.0,43,False,False,False,False,6
coronacases_002,final_outer_cv,0.5,14,False,False,False,False,0
coronacases_002,final_outer_cv,1.0,27,False,False,False,False,0
coronacases_003,final_outer_cv,0.5,20,False,False,False,False,0
coronacases_003,final_outer_cv,1.0,39,False,False,False,False,0
coronacases_004,permanent_development,0.5,4,False,False,False,False,0
coronacases_004,permanent_development,1.0,8,False,False,False,False,0
coronacases_005,final_outer_cv,0.5,2,False,False,False,False,0
coronacases_005,final_outer_cv,1.0,3,False,False,False,False,0
coronacases_006,final_outer_cv,0.5,1,False,False,False,False,0
coronacases_006,final_outer_cv,1.0,2,False,False,False,False,0
coronacases_007,final_outer_cv,0.5,5,False,False,False,False,0
coronacases_007,final_outer_cv,1.0,9,False,False,False,False,0
coronacases_008,permanent_development,0.5,17,False,False,False,False,0
coronacases_008,permanent_development,1.0,33,False,False,False,False,0
coronacases_009,final_outer_cv,0.5,5,False,False,False,False,0
coronacases_009,final_outer_cv,1.0,9,False,False,False,False,0
coronacases_010,final_outer_cv,0.5,3,False,False,False,False,0
coronacases_010,final_outer_cv,1.0,6,False,False,False,False,0
radiopaedia_10_85902_1,final_outer_cv,0.5,1,False,False,False,False,0
radiopaedia_10_85902_1,final_outer_cv,1.0,2,False,False,False,False,0
radiopaedia_10_85902_3,final_outer_cv,0.5,1,False,False,False,False,0
radiopaedia_10_85902_3,final_outer_cv,1.0,2,False,False,False,False,0
radiopaedia_14_85914_0,permanent_development,0.5,14,False,False,False,False,0
radiopaedia_14_85914_0,permanent_development,1.0,28,False,False,False,False,0
radiopaedia_27_86410_0,permanent_development,0.5,7,False,False,False,False,0
radiopaedia_27_86410_0,permanent_development,1.0,13,False,False,False,False,0
radiopaedia_29_86490_1,final_outer_cv,0.5,1,True,True,True,True,0
radiopaedia_29_86490_1,final_outer_cv,1.0,2,True,True,True,True,0
radiopaedia_29_86491_1,final_outer_cv,0.5,2,False,False,False,False,0
radiopaedia_29_86491_1,final_outer_cv,1.0,3,False,False,False,False,0
radiopaedia_36_86526_0,final_outer_cv,0.5,17,False,False,False,False,0
radiopaedia_36_86526_0,final_outer_cv,1.0,33,False,False,False,False,1
radiopaedia_40_86625_0,final_outer_cv,0.5,6,False,False,False,False,0
radiopaedia_40_86625_0,final_outer_cv,1.0,12,False,False,False,False,1
radiopaedia_4_85506_1,final_outer_cv,0.5,15,False,False,False,False,0
radiopaedia_4_85506_1,final_outer_cv,1.0,30,False,False,False,False,0
radiopaedia_7_85703_0,final_outer_cv,0.5,2,False,False,False,False,0
radiopaedia_7_85703_0,final_outer_cv,1.0,4,False,False,False,False,0
