case_id,source_subject_key,role,outer_fold,condition_id,coverage_fraction,geometry,eligible_components,selected_components,native_positive_budget_B_i,foreground_unique_voxels,background_unique_voxels,mean_component_annotation_nn_mm,mean_annotation_connected_sets_per_component,selected_component_ids,selected_component_quotas,foreground_semantic_sha256,background_semantic_sha256,annotation_semantic_sha256,artifact_file,artifact_file_sha256,trainer_eligible
coronacases_001,coronacases_001,final_outer_cv,3,C100_COH,1.0,coherent,43,43,203,203,203,0.8790063444271559,1.0,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16;12;42;35;43;9;39;2;56;40;46;29;45;53;38;11;50;55;33;44;8;48,5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4,5e9fd35bbaf9442f87ed3cd8ba28e4cc15ad6de6aad03461eca2decbf02f96e7,a252426e2027b3ec5394af919a1efa374380028a2fa893f7328b80a6c391f792,1cfd99fbfb09c237ff9db3f13eae6225cebc57eaa99d8f5efb8e72f968eaf2dc,data/cova3d_native_candidates_v1_0/coronacases_001/C100_COH.npz,e6bf6896cdf47186710cb8a6a33f02620c9b6551b2dde6352005d634f982b944,False
coronacases_001,coronacases_001,final_outer_cv,3,C100_DIS,1.0,dispersed,43,43,203,203,203,10.429255556951066,4.72093023255814,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16;12;42;35;43;9;39;2;56;40;46;29;45;53;38;11;50;55;33;44;8;48,5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4,332cf67a9137705aea8a1d744b7e63b1a1719dd4bce1fc79b9cc144ded70206b,a252426e2027b3ec5394af919a1efa374380028a2fa893f7328b80a6c391f792,0d81ec79ce6d2ae9dd5164f7b04c0be3d0a273b8698503dc4d4981035d6be296,data/cova3d_native_candidates_v1_0/coronacases_001/C100_DIS.npz,3ab0ea48abf40c9ecc73f3829a2db5cbb0e381198692046910c5f066cfb87edf,False
coronacases_001,coronacases_001,final_outer_cv,3,C100_FRG,1.0,fragmented,43,43,203,203,203,3.8235846602671733,2.9767441860465116,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16;12;42;35;43;9;39;2;56;40;46;29;45;53;38;11;50;55;33;44;8;48,5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4,bf3af6d2ef3ce5a12e14c23454d0f14a28848cd5d65e7968c821c8e7b4827922,a252426e2027b3ec5394af919a1efa374380028a2fa893f7328b80a6c391f792,01e79a0152407f77acc329b5c3237da29a5ef8ae66ef8b94d00af72def16c19d,data/cova3d_native_candidates_v1_0/coronacases_001/C100_FRG.npz,d54252297340a199895784e5e3bfdcfe541a9a5f0ecc98a9e5f443116f0976b4,False
coronacases_001,coronacases_001,final_outer_cv,3,C50_COH,0.5,coherent,43,22,203,203,203,0.8376448136925917,1.0,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16,10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,5efabb627a82e9c6b29329ef38edc49db18c480c94e8bfec01b50c0c5dee0e5d,a252426e2027b3ec5394af919a1efa374380028a2fa893f7328b80a6c391f792,a064f679d686be6ab0b7da80f2efd04a8343e93c43897cb078361482f471c061,data/cova3d_native_candidates_v1_0/coronacases_001/C50_COH.npz,2b1781988cd0ef4f8485082dd5e96b8e6d7702db480f57cfeadbce16e3787f19,False
coronacases_001,coronacases_001,final_outer_cv,3,C50_DIS,0.5,dispersed,43,22,203,203,203,8.799518529828159,8.954545454545455,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16,10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,2c3382cfb02324ccf3fc23299f513abea38a46d700c7a92751617a65c059e5b4,a252426e2027b3ec5394af919a1efa374380028a2fa893f7328b80a6c391f792,12a92b7050878e4c8d0958f9becb139f2529e38b55c408490cbf920fd9c67531,data/cova3d_native_candidates_v1_0/coronacases_001/C50_DIS.npz,23ba1409b905297f0a2212366cb8ab269bc111d4e5394d51a778c484815f8323,False
coronacases_001,coronacases_001,final_outer_cv,3,C50_FRG,0.5,fragmented,43,22,203,203,203,0.8123649775981903,2.8636363636363638,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16,10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,3f32aa7d918c208c99ba9d787648b1a491e0a791a6982d7ac37ed52c2ae66f83,a252426e2027b3ec5394af919a1efa374380028a2fa893f7328b80a6c391f792,f12a3072550ef3361ca0ef9d28876561832079d328962049cc374d3baf5979ee,data/cova3d_native_candidates_v1_0/coronacases_001/C50_FRG.npz,19dab0585a06e77c7ea8fb9ef5b95fd75cd682d226a939ebbd4b268c7dc85204,False
coronacases_002,coronacases_002,final_outer_cv,0,C100_COH,1.0,coherent,27,27,280,280,280,0.744118564664324,1.0,15;27;6;19;16;12;21;2;23;18;20;26;14;1;25;24;9;11;22;13;4;10;17;3;7;5;8,11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10,c88fd368961bae7a0da90bbc747103775f761a2f6f0ce02b482d6e15710b8989,b831f7df87d51edbefd8c012bad4f835657518b18e43f4d74d2fdbb9e0f9142a,d805492e2af73a3a49f829284b249201d00b5f74886ee2c613ecaa8f8a0be818,data/cova3d_native_candidates_v1_0/coronacases_002/C100_COH.npz,73c7851242e1448e9bbbb74f69e439a7b75bcdbb3eccb47bf6a1114167110744,False
coronacases_002,coronacases_002,final_outer_cv,0,C100_DIS,1.0,dispersed,27,27,280,280,280,9.220413995315816,10.148148148148149,15;27;6;19;16;12;21;2;23;18;20;26;14;1;25;24;9;11;22;13;4;10;17;3;7;5;8,11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10,cb4b3262487a8561b16660939ef9e32c4b7e2b9ba7350d31b6666d5cb73af1b1,b831f7df87d51edbefd8c012bad4f835657518b18e43f4d74d2fdbb9e0f9142a,37dbbc9db69eedc679c98b40cc541b605824f47febfcd01fef11f24731f8bfb8,data/cova3d_native_candidates_v1_0/coronacases_002/C100_DIS.npz,6cb96109904097061abd05fddf86e05a4b95a908e9321a4bd5391616c6e14a99,False
coronacases_002,coronacases_002,final_outer_cv,0,C100_FRG,1.0,fragmented,27,27,280,280,280,0.68359375,2.962962962962963,15;27;6;19;16;12;21;2;23;18;20;26;14;1;25;24;9;11;22;13;4;10;17;3;7;5;8,11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10,6440cc308f55213601254945efabd283359f370fc52d25d30d6831e7d182e5b6,b831f7df87d51edbefd8c012bad4f835657518b18e43f4d74d2fdbb9e0f9142a,db83df0d769c39ac34ead209f286f2f33a8d71d2c239954fc6c8e255eefb0baa,data/cova3d_native_candidates_v1_0/coronacases_002/C100_FRG.npz,e421c88de201098d33694344e12f98f71ec9de97a76b9c81093f07a0604e3395,False
coronacases_002,coronacases_002,final_outer_cv,0,C50_COH,0.5,coherent,27,14,280,280,280,0.7198538568683668,1.0,15;27;6;19;16;12;21;2;23;18;20;26;14;1,20;20;20;20;20;20;20;20;20;20;20;20;20;20,75875fe3acf7672a27633a4499326be99c1710dcb3d9ee4e1772bf56e0628d4f,b831f7df87d51edbefd8c012bad4f835657518b18e43f4d74d2fdbb9e0f9142a,989ddc97769ad400a530384a1cc8be6c0dc1561ab85bb0ab379975f5e7bc214b,data/cova3d_native_candidates_v1_0/coronacases_002/C50_COH.npz,d5772d7c292f3be9d721576e5ae1f04f00ffc097a0f948c6aac6957c00f9c343,False
