condition,seed,epoch,epoch_1based,logical_microbatches,logical_optimizer_steps,successful_optimizer_steps_total,mean_loss,mean_partial_bce,mean_partial_dice_fp32,labelled_voxels_seen,foreground_voxels_seen,zero_label_microbatches,foreground_centered,background_centered,uniform_crop,coronacases_004_samples,coronacases_008_samples,radiopaedia_14_85914_0_samples,radiopaedia_27_86410_0_samples,amp_overflow_events,amp_retry_attempts,amp_scale_min,amp_scale_max,amp_scale_end,mean_preclip_grad_norm,max_preclip_grad_norm,learning_rate_end,epoch_seconds,peak_allocated_gb,peak_reserved_gb
C100_COH,17,0,1,100,50,50,2.0509021873772144,1.5657376773655414,0.485164510011673,10214,5340,0,51,24,25,25,25,25,25,1,1,2048.0,4096.0,2048.0,55.211547966003415,277.29278564453125,0.00015,18.760411662999104,1.766026496887207,1.84375
C100_COH,17,1,2,100,50,100,0.8324860836565494,0.5824663976207376,0.2500196850299835,9796,5368,2,56,22,22,25,25,25,25,0,0,2048.0,2048.0,2048.0,20.61821144580841,62.34248352050781,0.0003,18.705951780999385,1.766026496887207,1.84375
C100_COH,17,2,3,100,50,150,0.4967245743051171,0.3074129889439791,0.1893115830421447,9539,4881,2,47,26,27,25,25,25,25,0,0,2048.0,2048.0,2048.0,10.22458393096924,41.67257308959961,0.0002977439513223,19.00066741799856,1.766026496887207,1.84375
C100_COH,17,3,4,100,50,200,0.3195588297385257,0.1825830056180711,0.1369758254289627,9747,5070,0,49,27,24,25,25,25,25,0,0,2048.0,2048.0,2048.0,6.654844169616699,17.95817756652832,0.0002910443541867,18.76245653099977,1.766026496887207,1.84375
C100_COH,17,4,5,100,50,250,0.2240921656208229,0.1258276023299549,0.0982645612955093,10030,5189,1,54,24,22,25,25,25,25,0,0,2048.0,2048.0,2048.0,6.407562429904938,20.689441680908203,0.0002801047724619,18.562284094999995,1.766026496887207,1.84375
C100_COH,17,5,6,100,50,300,0.2698167694360018,0.1410372114856727,0.1287795597314834,9868,5104,1,49,28,23,25,25,25,25,0,0,2048.0,2048.0,2048.0,6.534726140499115,34.021995544433594,0.0002652575998031,18.642298056000072,1.766026496887207,1.84375
C100_COH,17,6,7,100,50,350,0.1282199321162276,0.0758548639428424,0.0523650681972503,9925,5226,0,52,23,25,25,25,25,25,0,0,2048.0,2048.0,2048.0,4.598641576766968,16.192338943481445,0.0002469539600384,18.71054131700112,1.766026496887207,1.84375
C100_COH,17,7,8,100,50,400,0.1217206351368878,0.0620952373326947,0.0596253979206085,9175,4588,0,49,27,24,25,25,25,25,0,0,2048.0,2048.0,2048.0,5.497743958234787,34.774471282958984,0.0002257499999999,18.698801722999637,1.766026496887207,1.84375
C100_COH,17,8,9,100,50,450,0.0859498093163711,0.0484401521446125,0.0375096571445465,10212,5367,0,60,20,20,25,25,25,25,0,0,2048.0,2048.0,2048.0,3.68344650387764,12.82896900177002,0.0002022899912838,18.60998832099904,1.766026496887207,1.84375
C100_COH,17,9,10,100,50,500,0.055636659824883,0.0265505461504623,0.0290861129760742,9912,5119,0,49,27,24,25,25,25,25,0,0,2048.0,2048.0,2048.0,2.861979881376028,11.79978370666504,0.0001772867543835,18.533123586999864,1.766026496887207,1.84375
C100_COH,17,10,11,100,50,550,0.0431661509693094,0.0209078577009972,0.0222582930326461,9799,5168,0,56,23,21,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.8956602068245407,9.273592948913574,0.0001514999999999,18.537615465000272,1.766026496887207,1.84375
C100_COH,17,11,12,100,50,600,0.0480433595204504,0.0167474634501314,0.0312958961725235,9470,5063,2,46,26,28,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.8291439946740864,14.853259086608888,0.0001257132456164,18.55561108999973,1.766026496887207,1.84375
C100_COH,17,12,13,100,50,650,0.0280269936583024,0.0103829556776397,0.0176440382003784,10100,5399,4,51,22,27,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.3981572023779154,8.266389846801758,0.0001007100087161,18.50397683800111,1.766026496887207,1.84375
C100_COH,17,13,14,100,50,700,0.0146429427524424,0.0083464875689366,0.0062964552640914,9957,5287,2,56,20,24,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.2023283372819424,5.324676990509033,7.725000000000002e-05,18.48006378999889,1.766026496887207,1.84375
C100_COH,17,14,15,100,50,750,0.0268942064583809,0.0100382849429372,0.0168559217453002,10156,5308,0,54,22,24,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.2603447331488131,6.402834892272949,5.604603996154889e-05,18.481553824,1.766026496887207,1.84375
C100_COH,17,15,16,100,50,800,0.0644252157435426,0.014315734593149,0.0501094812154769,9794,5070,0,44,23,33,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.9456866555660963,16.217302322387695,3.7742400196831774e-05,18.537271209999744,1.766026496887207,1.84375
C100_COH,17,16,17,100,50,850,0.0473545042586092,0.0112588237982336,0.0360956805944442,9675,4947,0,59,19,22,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.138710751906037,10.122426986694336,2.289522753801085e-05,18.50003449100041,1.766026496887207,1.84375
C100_COH,17,17,18,100,50,900,0.0386843001978519,0.0047451705653049,0.0339391297101974,9879,5121,1,53,21,26,25,25,25,25,0,0,2048.0,2048.0,2048.0,0.8108596285060048,2.0723211765289307,1.1955645813292614e-05,18.45776137299981,1.766026496887207,1.84375
C100_COH,17,18,19,100,50,950,0.0496279398596342,0.0056535397575733,0.0439743995666503,9694,5131,0,47,27,26,25,25,25,25,0,0,2048.0,2048.0,2048.0,0.779511820198968,4.891209602355957,5.2560486776871085e-06,18.453482437000275,1.766026496887207,1.84375
C100_COH,17,19,20,100,50,1000,0.0336093125325987,0.0078533024784246,0.0257560104131698,9840,5047,0,53,24,23,25,25,25,25,0,0,2048.0,2048.0,2048.0,1.2868364268168806,7.417827129364014,3e-06,18.498615311998947,1.766026496887207,1.84375
