case_id,condition_id,artifact_file,artifact_file_sha256,annotation_semantic_sha256,sparse_only,coordinate_level_QA,trainer_candidate,training_authorized,effective_protocol
coronacases_001,C50_COH,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C50_COH.npz,8125111d46add757d573fe3e62e0488d43d0908a15ba5fb921767276e1b4125c,97b3ca0802d69e6a87c50ae453376ab60e72c890c445d775d8dfd5984b298fee,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_001,C50_DIS,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C50_DIS.npz,b4027b2064c767e82c3d2d49fc45fd2c921eac1b90d4665384ee07c6239e0e60,8370f21259693a6d859108404d987911e9ab1c0f6ffae90f5f51ece20603ab0f,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_001,C50_FRG,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C50_FRG.npz,bc52ea9230e8fccba4e7a8b6a18fa0b5c5789b8c24ed1a770ae0372c87daae92,bf3fd6575b1122f6f3dcda4aff2627207e5555709b78a364475e19f9928a22c6,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_001,C100_COH,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C100_COH.npz,43040524f3c21b1776531a38c8b2599975a8b7394a7edf317d1f37729f90333d,ee6b1ab5ed56b9cd239d1e46a561a43015f61f0d867388f61d8b0e20bfb6d22b,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_001,C100_DIS,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C100_DIS.npz,4e637a9b41d78420001c0ac0359009778957fa6ad8f8dea3d8f2727c847e332f,529fc9398880ab6e7057773000f4e4af4355ae980e720503a12dd358feba0580,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_001,C100_FRG,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C100_FRG.npz,97c7d2b1ae70df4b6138d989ddb7da17da63f0ae08f71181fa2c342f730bf08f,6b154ffa617f50ee186667c5689d1d1d31936a83d1614f7e4ebc2adf75b197f9,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_002,C50_COH,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C50_COH.npz,c8eac9a498aba63ea9d8c1fa68957e4683a125dc134f933b1c3342891a71835a,d9d41c12db4dcf79f76bfa308b6333ea9ebbe313db95dfa32f56862b56cc913c,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_002,C50_DIS,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C50_DIS.npz,67fd3cc94181e813d206860554d0a757432c2fd8a2079c31b44da5ea505f2617,00c5affe5cf3797c2958fd2c9ffc2ba9be05fbc1255bf797a37ea4b59ea1505e,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_002,C50_FRG,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C50_FRG.npz,4a0cfa9b2bd526c94995c60bbf75236e1d3c993f7ccd4e9971c36c8728c8132c,557f3c038640cc0cc604352bc2a79eac5b4a2bfeae7571b60029cba2da1fe0f5,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_002,C100_COH,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C100_COH.npz,03cc1db6f9e987c20aedc18faecc711a7e0c20de6b972c65dc4f632e84cbba2a,72ac0648b531385c6de95c629358d425b81c15242796f68e40cf41f7cb41f278,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
coronacases_002,C100_DIS,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C100_DIS.npz,d498309dd284bf11d45f3b9912884e87f9be6524550f82969cf633f1af448147,f561c12be69faa2092995f3e08700fa5474e238415a49cfb8d2c2937d43a6ab2,True,True,True,False,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2
