case_id,role,condition_id,coverage_fraction,geometry_condition,component_native_id,component_volume_ml,global_resolution_class,representation,geometry_claim_allowed,quota,connected_sets,mean_nearest_neighbor_mm,common_capacity,coherent_capacity,dispersed_capacity,fragmented_capacity,capacity_source,uses_neutral_bank
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,1,197.84095155793204,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,2,1,1.5,2,2,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,2,33.67581041980142,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,3,0.4677743380330604,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,2.118033988749895,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,4,0.144537014560777,GLOBAL_RESOLUTION_LIMITED,neutral_physical_bank_prefix,False,17,1,1.5,42,42,42,42,physical_neutral_bank,True
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,6,0.6254510811902718,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,2.0,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,7,1.8132825463079307,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,4,1,2.1213203435596424,4,4,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,8,2.5760437913309406,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,2.0,3,3,4,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,9,0.1005189237627222,GLOBAL_RESOLUTION_LIMITED,neutral_physical_bank_prefix,False,17,1,1.5,39,39,39,39,physical_neutral_bank,True
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,10,0.4060176136298193,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,2,1,1.5,2,2,5,5,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,11,31.682513591722337,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,4,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,12,0.3692263735598033,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,4,5,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,14,0.771959055040514,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,15,0.1616186617361416,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,2.1213203435596424,3,3,5,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,16,0.6576434162515358,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,4,1,1.875,4,4,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,17,0.1373101638327382,GLOBAL_RESOLUTION_LIMITED,neutral_physical_bank_prefix,False,17,1,1.5,43,43,43,43,physical_neutral_bank,True
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,21,0.4598905008751998,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,2.118033988749895,3,3,5,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,23,1.1470983064687128,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,2.118033988749895,3,3,5,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,24,0.1911830510781187,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,4,5,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,25,56.20650304410728,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,26,51.29618646761979,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,5,5,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,27,0.1090597473504045,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,28,2.795477258891393,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.7071067811865472,3,3,5,5,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,29,0.8534253723384065,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,2,1,2.1213203435596424,2,2,4,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,30,0.3383480113581827,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,2,1,3.0,2,2,5,5,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,31,0.1741014039027542,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,2,1,1.5,2,2,4,5,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,32,7.16378003077597,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,33,0.3869650071649896,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,4,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,35,5.336700769441784,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,4,1,1.5,4,4,5,5,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,37,6.659871439102715,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.7071067811865472,3,3,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,38,0.2647655312181508,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,2,1,1.5,2,2,4,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,39,12.372368446402518,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,4,1,1.5,4,4,5,4,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,40,0.3547726721037256,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,4,5,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,42,0.2168055218411656,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,5,5,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,43,5.407655303862528,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,5,5,3,common_geometry_preserving_candidate_capacity,False
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,44,0.2161485354113439,GLOBAL_RESOLUTION_LIMITED,neutral_physical_bank_prefix,False,16,1,1.5,101,101,101,101,physical_neutral_bank,True
coronacases_001,final_outer_cv,C100_COH,1.0,coherent,45,0.185927159639545,GLOBAL_GEOMETRY_RESOLVABLE,coherent,True,3,1,1.5,3,3,4,4,common_geometry_preserving_candidate_capacity,False
