case_id,source_subject_key,role,outer_fold,condition_id,coverage_fraction,geometry,selected_components,selected_resolvable_components,selected_resolution_limited_components,train_positive_budget_B_i,foreground_unique_voxels,background_unique_voxels,selected_component_ids,selected_component_quotas,background_semantic_sha256,annotation_semantic_sha256,artifact_file,artifact_file_sha256,effective_protocol,coordinate_level_QA,factorial_training_authorized,selected_geometry_operational_components,selected_resolution_neutral_components,selected_alias_neutral_components,A1_3_changed_component_count
coronacases_001,coronacases_001,final_outer_cv,3.0,C50_COH,0.5,coherent,22,20,2,180,180,180,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16,5;4;4;4;4;43;5;5;3;5;42;5;4;6;4;5;6;6;5;4;5;6,9771c8823c4699af8b5c4e44c10a30cccb4fc1de35edc8ad6f2344cac82f8b15,97b3ca0802d69e6a87c50ae453376ab60e72c890c445d775d8dfd5984b298fee,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C50_COH.npz,8125111d46add757d573fe3e62e0488d43d0908a15ba5fb921767276e1b4125c,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,19,2,1,1
coronacases_001,coronacases_001,final_outer_cv,3.0,C50_DIS,0.5,dispersed,22,20,2,180,180,180,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16,5;4;4;4;4;43;5;5;3;5;42;5;4;6;4;5;6;6;5;4;5;6,9771c8823c4699af8b5c4e44c10a30cccb4fc1de35edc8ad6f2344cac82f8b15,8370f21259693a6d859108404d987911e9ab1c0f6ffae90f5f51ece20603ab0f,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C50_DIS.npz,b4027b2064c767e82c3d2d49fc45fd2c921eac1b90d4665384ee07c6239e0e60,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,19,2,1,1
coronacases_001,coronacases_001,final_outer_cv,3.0,C50_FRG,0.5,fragmented,22,20,2,180,180,180,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16,5;4;4;4;4;43;5;5;3;5;42;5;4;6;4;5;6;6;5;4;5;6,9771c8823c4699af8b5c4e44c10a30cccb4fc1de35edc8ad6f2344cac82f8b15,bf3fd6575b1122f6f3dcda4aff2627207e5555709b78a364475e19f9928a22c6,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C50_FRG.npz,bc52ea9230e8fccba4e7a8b6a18fa0b5c5789b8c24ed1a770ae0372c87daae92,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,19,2,1,1
coronacases_001,coronacases_001,final_outer_cv,3.0,C100_COH,1.0,coherent,43,39,4,180,180,180,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16;12;42;35;43;9;39;2;56;40;46;29;45;53;38;11;50;55;33;44;8;48,2;2;2;3;3;17;3;3;2;3;17;3;2;3;3;4;3;3;3;3;3;4;3;3;4;3;17;4;3;3;3;3;2;3;2;2;3;3;3;3;16;3;3,9771c8823c4699af8b5c4e44c10a30cccb4fc1de35edc8ad6f2344cac82f8b15,ee6b1ab5ed56b9cd239d1e46a561a43015f61f0d867388f61d8b0e20bfb6d22b,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C100_COH.npz,43040524f3c21b1776531a38c8b2599975a8b7394a7edf317d1f37729f90333d,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,33,4,6,2
coronacases_001,coronacases_001,final_outer_cv,3.0,C100_DIS,1.0,dispersed,43,39,4,180,180,180,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16;12;42;35;43;9;39;2;56;40;46;29;45;53;38;11;50;55;33;44;8;48,2;2;2;3;3;17;3;3;2;3;17;3;2;3;3;4;3;3;3;3;3;4;3;3;4;3;17;4;3;3;3;3;2;3;2;2;3;3;3;3;16;3;3,9771c8823c4699af8b5c4e44c10a30cccb4fc1de35edc8ad6f2344cac82f8b15,529fc9398880ab6e7057773000f4e4af4355ae980e720503a12dd358feba0580,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C100_DIS.npz,4e637a9b41d78420001c0ac0359009778957fa6ad8f8dea3d8f2727c847e332f,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,33,4,6,6
coronacases_001,coronacases_001,final_outer_cv,3.0,C100_FRG,1.0,fragmented,43,39,4,180,180,180,1;10;30;24;32;17;14;15;51;27;4;26;31;3;28;7;6;25;23;37;21;16;12;42;35;43;9;39;2;56;40;46;29;45;53;38;11;50;55;33;44;8;48,2;2;2;3;3;17;3;3;2;3;17;3;2;3;3;4;3;3;3;3;3;4;3;3;4;3;17;4;3;3;3;3;2;3;2;2;3;3;3;3;16;3;3,9771c8823c4699af8b5c4e44c10a30cccb4fc1de35edc8ad6f2344cac82f8b15,6b154ffa617f50ee186667c5689d1d1d31936a83d1614f7e4ebc2adf75b197f9,data/cova3d_training_grid_candidates_v1_3/coronacases_001/C100_FRG.npz,97c7d2b1ae70df4b6138d989ddb7da17da63f0ae08f71181fa2c342f730bf08f,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,33,4,6,6
coronacases_002,coronacases_002,final_outer_cv,0.0,C50_COH,0.5,coherent,14,13,1,144,144,144,15;27;6;19;16;12;21;2;23;18;20;26;14;1,7;30;10;10;8;10;10;9;7;11;11;10;6;5,638b5927997fa29781f586f10c1ccaf381747b18a3d63339bbe51626754bcb81,d9d41c12db4dcf79f76bfa308b6333ea9ebbe313db95dfa32f56862b56cc913c,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C50_COH.npz,c8eac9a498aba63ea9d8c1fa68957e4683a125dc134f933b1c3342891a71835a,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,13,1,0,0
coronacases_002,coronacases_002,final_outer_cv,0.0,C50_DIS,0.5,dispersed,14,13,1,144,144,144,15;27;6;19;16;12;21;2;23;18;20;26;14;1,7;30;10;10;8;10;10;9;7;11;11;10;6;5,638b5927997fa29781f586f10c1ccaf381747b18a3d63339bbe51626754bcb81,00c5affe5cf3797c2958fd2c9ffc2ba9be05fbc1255bf797a37ea4b59ea1505e,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C50_DIS.npz,67fd3cc94181e813d206860554d0a757432c2fd8a2079c31b44da5ea505f2617,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,13,1,0,0
coronacases_002,coronacases_002,final_outer_cv,0.0,C50_FRG,0.5,fragmented,14,13,1,144,144,144,15;27;6;19;16;12;21;2;23;18;20;26;14;1,7;30;10;10;8;10;10;9;7;11;11;10;6;5,638b5927997fa29781f586f10c1ccaf381747b18a3d63339bbe51626754bcb81,557f3c038640cc0cc604352bc2a79eac5b4a2bfeae7571b60029cba2da1fe0f5,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C50_FRG.npz,4a0cfa9b2bd526c94995c60bbf75236e1d3c993f7ccd4e9971c36c8728c8132c,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,13,1,0,0
coronacases_002,coronacases_002,final_outer_cv,0.0,C100_COH,1.0,coherent,27,25,2,144,144,144,15;27;6;19;16;12;21;2;23;18;20;26;14;1;25;24;9;11;22;13;4;10;17;3;7;5;8,6;11;4;5;6;6;4;6;5;6;4;6;3;4;4;4;4;11;4;6;3;5;6;4;5;6;6,638b5927997fa29781f586f10c1ccaf381747b18a3d63339bbe51626754bcb81,72ac0648b531385c6de95c629358d425b81c15242796f68e40cf41f7cb41f278,data/cova3d_training_grid_candidates_v1_3/coronacases_002/C100_COH.npz,03cc1db6f9e987c20aedc18faecc711a7e0c20de6b972c65dc4f632e84cbba2a,COVA3D_1.0+A1+A1.1+A1.2+A1.3+N1+N2,True,False,25,2,0,0
