case_id,source_origin,source_encoding,spacing_z_mm,spacing_y_mm,spacing_x_mm,full_shape_z,full_shape_y,full_shape_x,crop_origin_z,crop_origin_y,crop_origin_x,crop_shape_z,crop_shape_y,crop_shape_x,crop_method,crop_reproduction_pass
coronacases_001,Coronacases,raw_hu,3.0,1.5,1.5,101,278,278,12,66,43,89,184,194,normalized_internal_air_lung_bbox,True
coronacases_002,Coronacases,raw_hu,3.0,1.5,1.5,101,234,234,0,6,0,101,185,230,normalized_internal_air_lung_bbox,True
coronacases_003,Coronacases,raw_hu,3.0,1.5,1.5,101,252,252,14,81,17,87,144,206,normalized_internal_air_lung_bbox,True
coronacases_004,Coronacases,raw_hu,3.0,1.5,1.5,91,234,234,0,73,17,91,150,197,normalized_internal_air_lung_bbox,True
coronacases_005,Coronacases,raw_hu,3.0,1.5,1.5,98,234,234,0,57,15,98,141,206,normalized_internal_air_lung_bbox,True
coronacases_006,Coronacases,raw_hu,3.0,1.5,1.5,107,260,260,0,63,0,107,182,260,normalized_internal_air_lung_bbox,True
coronacases_007,Coronacases,raw_hu,3.0,1.5,1.5,84,244,244,0,53,0,84,157,238,normalized_internal_air_lung_bbox,True
coronacases_008,Coronacases,raw_hu,3.0,1.5,1.5,101,248,248,3,53,27,98,170,195,normalized_internal_air_lung_bbox,True
coronacases_009,Coronacases,raw_hu,3.0,1.5,1.5,86,234,234,0,52,0,86,159,231,normalized_internal_air_lung_bbox,True
coronacases_010,Coronacases,raw_hu,3.0,1.5,1.5,101,234,234,0,52,5,101,145,229,normalized_internal_air_lung_bbox,True
radiopaedia_10_85902_1,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,77,288,288,0,56,0,77,208,288,normalized_internal_air_lung_bbox,True
radiopaedia_10_85902_3,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,140,288,288,0,75,23,140,194,241,normalized_internal_air_lung_bbox,True
radiopaedia_14_85914_0,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,74,184,288,0,3,0,74,181,288,normalized_internal_air_lung_bbox,True
radiopaedia_27_86410_0,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,131,288,288,0,28,0,131,233,288,normalized_internal_air_lung_bbox,True
radiopaedia_29_86490_1,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,83,288,288,0,61,0,83,197,288,normalized_internal_air_lung_bbox,True
radiopaedia_29_86491_1,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,83,288,288,0,31,0,83,210,288,normalized_internal_air_lung_bbox,True
radiopaedia_36_86526_0,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,89,288,288,0,44,9,89,198,269,normalized_internal_air_lung_bbox,True
radiopaedia_40_86625_0,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,124,288,288,0,57,0,124,213,288,normalized_internal_air_lung_bbox,True
radiopaedia_4_85506_1,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,77,288,288,0,0,0,77,262,288,normalized_internal_air_lung_bbox,True
radiopaedia_7_85703_0,Radiopaedia,documented_prewindowed_0_255,3.0,1.5,1.5,89,288,288,0,25,0,89,248,288,normalized_internal_air_lung_bbox,True
