case_id,condition_id,coverage_fraction,geometry,native_fg,native_bg,fg_inside_crop_before_dedup,fg_unique_after_grid_mapping,fg_coordinate_collapse,fg_outside_crop,bg_inside_crop_before_dedup,bg_unique_after_grid_mapping,bg_coordinate_collapse,bg_outside_crop,mapped_bg_semantic_sha256
coronacases_001,C100_COH,1.0,coherent,203,203,203,127,76,0,203,203,0,0,551d00573ed301b9412de8345238a33f57317cad7251da837a09b5882c46702e
coronacases_001,C100_DIS,1.0,dispersed,203,203,203,203,0,0,203,203,0,0,551d00573ed301b9412de8345238a33f57317cad7251da837a09b5882c46702e
coronacases_001,C100_FRG,1.0,fragmented,203,203,203,169,34,0,203,203,0,0,551d00573ed301b9412de8345238a33f57317cad7251da837a09b5882c46702e
coronacases_001,C50_COH,0.5,coherent,203,203,203,105,98,0,203,203,0,0,551d00573ed301b9412de8345238a33f57317cad7251da837a09b5882c46702e
coronacases_001,C50_DIS,0.5,dispersed,203,203,203,200,3,0,203,203,0,0,551d00573ed301b9412de8345238a33f57317cad7251da837a09b5882c46702e
coronacases_001,C50_FRG,0.5,fragmented,203,203,203,137,66,0,203,203,0,0,551d00573ed301b9412de8345238a33f57317cad7251da837a09b5882c46702e
coronacases_002,C100_COH,1.0,coherent,280,280,280,143,137,0,280,280,0,0,7c3d37d988e577a2363d7d78c22b83a7dc650e2040a3e12eaddc536a9cb7e635
coronacases_002,C100_DIS,1.0,dispersed,280,280,280,277,3,0,280,280,0,0,7c3d37d988e577a2363d7d78c22b83a7dc650e2040a3e12eaddc536a9cb7e635
coronacases_002,C100_FRG,1.0,fragmented,280,280,280,163,117,0,280,280,0,0,7c3d37d988e577a2363d7d78c22b83a7dc650e2040a3e12eaddc536a9cb7e635
coronacases_002,C50_COH,0.5,coherent,280,280,280,126,154,0,280,280,0,0,7c3d37d988e577a2363d7d78c22b83a7dc650e2040a3e12eaddc536a9cb7e635
coronacases_002,C50_DIS,0.5,dispersed,280,280,280,266,14,0,280,280,0,0,7c3d37d988e577a2363d7d78c22b83a7dc650e2040a3e12eaddc536a9cb7e635
coronacases_002,C50_FRG,0.5,fragmented,280,280,280,139,141,0,280,280,0,0,7c3d37d988e577a2363d7d78c22b83a7dc650e2040a3e12eaddc536a9cb7e635
coronacases_003,C100_COH,1.0,coherent,400,400,400,208,192,0,400,400,0,0,0f039081f358bdc4053908a30f7e5b387e1ea7a6f816561f444d6c52203ea282
coronacases_003,C100_DIS,1.0,dispersed,400,400,400,400,0,0,400,400,0,0,0f039081f358bdc4053908a30f7e5b387e1ea7a6f816561f444d6c52203ea282
coronacases_003,C100_FRG,1.0,fragmented,400,400,400,260,140,0,400,400,0,0,0f039081f358bdc4053908a30f7e5b387e1ea7a6f816561f444d6c52203ea282
coronacases_003,C50_COH,0.5,coherent,400,400,400,182,218,0,400,400,0,0,0f039081f358bdc4053908a30f7e5b387e1ea7a6f816561f444d6c52203ea282
coronacases_003,C50_DIS,0.5,dispersed,400,400,400,387,13,0,400,400,0,0,0f039081f358bdc4053908a30f7e5b387e1ea7a6f816561f444d6c52203ea282
coronacases_003,C50_FRG,0.5,fragmented,400,400,400,201,199,0,400,400,0,0,0f039081f358bdc4053908a30f7e5b387e1ea7a6f816561f444d6c52203ea282
coronacases_004,C100_COH,1.0,coherent,80,80,80,36,44,0,80,80,0,0,9608b9f7f8247228e3a71db23461a9e4d61d74dddc49b3b022efa21ffd982993
coronacases_004,C100_DIS,1.0,dispersed,80,80,80,80,0,0,80,80,0,0,9608b9f7f8247228e3a71db23461a9e4d61d74dddc49b3b022efa21ffd982993
coronacases_004,C100_FRG,1.0,fragmented,80,80,80,53,27,0,80,80,0,0,9608b9f7f8247228e3a71db23461a9e4d61d74dddc49b3b022efa21ffd982993
coronacases_004,C50_COH,0.5,coherent,80,80,80,31,49,0,80,80,0,0,9608b9f7f8247228e3a71db23461a9e4d61d74dddc49b3b022efa21ffd982993
