condition,case_id,dice_at_0p5,iou_at_0p5,predicted_components_at_0p5,eligible_reference_components,small_reference_components,fp_components_at_0p5,fp_volume_ml_at_0p5,primary_iou_component_recall_at_0p5,iou_0p25_component_recall,any_overlap_component_recall
complete,coronacases_004,0.012421481998302657,0.006249555368907469,274,8,6,274,9841.807821822806,0.0,0.0,0.125
complete,coronacases_008,0.04400771424046238,0.022498920144449142,484,33,7,483,11547.243844538598,0.030303030303030304,0.030303030303030304,0.06060606060606061
complete,radiopaedia_14_85914_0,0.10687072812091634,0.05645189143097371,408,28,2,408,12610.260966778125,0.0,0.0,0.10714285714285714
complete,radiopaedia_27_86410_0,0.04812973658133361,0.024658266219515647,1670,13,1,1670,27108.524406374836,0.0,0.0,0.15384615384615385
pixel_dropout_matched_50,coronacases_004,0.017092192927913325,0.008619761779621636,2336,8,6,2336,6474.705043584617,0.0,0.0,0.125
pixel_dropout_matched_50,coronacases_008,0.06797429891605,0.035182916499461404,2342,33,7,2341,6937.670500760286,0.030303030303030304,0.030303030303030304,0.09090909090909091
pixel_dropout_matched_50,radiopaedia_14_85914_0,0.15888924211597152,0.08630075156292143,4080,28,2,4080,7063.666597905031,0.0,0.0,0.10714285714285714
pixel_dropout_matched_50,radiopaedia_27_86410_0,0.06547462358672373,0.03384531647143215,11641,13,1,11641,17541.918402341464,0.0,0.0,0.23076923076923078
component_natural_50,coronacases_004,0.05228403384341616,0.026843767136431048,339,8,6,339,1955.0615310546061,0.0,0.0,0.125
component_natural_50,coronacases_008,0.1453565029592514,0.07837436315452584,265,33,7,261,2541.6057847226193,0.12121212121212122,0.09090909090909091,0.21212121212121213
component_natural_50,radiopaedia_14_85914_0,0.333919039151133,0.20042185643907814,194,28,2,190,2258.5616798168935,0.14285714285714285,0.07142857142857142,0.2857142857142857
component_natural_50,radiopaedia_27_86410_0,0.15935930747052718,0.08657817254465348,461,13,1,459,6012.481057832841,0.15384615384615385,0.07692307692307693,0.15384615384615385
component_fixed_50,coronacases_004,0.013045370881333741,0.0065655101984488425,1027,8,6,1027,8198.48869000028,0.0,0.0,0.125
component_fixed_50,coronacases_008,0.050577662581891655,0.02594494872202947,1039,33,7,1038,9478.76697900169,0.030303030303030304,0.030303030303030304,0.12121212121212122
component_fixed_50,radiopaedia_14_85914_0,0.13538670249185653,0.07260846132159755,1846,28,2,1845,9460.167045052383,0.03571428571428571,0.0,0.25
component_fixed_50,radiopaedia_27_86410_0,0.05567688255654578,0.028635612083733303,3721,13,1,3721,21839.898275677904,0.0,0.0,0.15384615384615385
