condition,case_id,source_origin,voxel_threshold,prediction_components,eligible_references,true_positives,false_positives,neutral_small,recall
complete,coronacases_004,Coronacases,0.1,149,8,0,149,0,0.0
complete,coronacases_004,Coronacases,0.2,176,8,0,176,0,0.0
complete,coronacases_004,Coronacases,0.3,192,8,0,192,0,0.0
complete,coronacases_004,Coronacases,0.4,202,8,0,202,0,0.0
complete,coronacases_004,Coronacases,0.5,274,8,0,274,0,0.0
complete,coronacases_004,Coronacases,0.6,634,8,0,634,0,0.0
complete,coronacases_004,Coronacases,0.7,493,8,0,493,0,0.0
complete,coronacases_004,Coronacases,0.8,520,8,0,520,0,0.0
complete,coronacases_004,Coronacases,0.85,591,8,0,591,0,0.0
complete,coronacases_004,Coronacases,0.9,574,8,1,573,0,0.125
complete,coronacases_004,Coronacases,0.925,569,8,1,568,0,0.125
complete,coronacases_004,Coronacases,0.95,549,8,1,548,0,0.125
complete,coronacases_004,Coronacases,0.96,562,8,1,561,0,0.125
complete,coronacases_004,Coronacases,0.97,601,8,2,599,0,0.25
complete,coronacases_004,Coronacases,0.98,604,8,3,601,0,0.375
complete,coronacases_004,Coronacases,0.985,582,8,3,579,0,0.375
complete,coronacases_004,Coronacases,0.99,640,8,3,636,1,0.375
complete,coronacases_004,Coronacases,0.9925,627,8,3,623,1,0.375
complete,coronacases_004,Coronacases,0.995,629,8,3,625,1,0.375
complete,coronacases_004,Coronacases,0.9975,631,8,3,627,1,0.375
complete,coronacases_004,Coronacases,0.999,507,8,3,503,1,0.375
complete,coronacases_004,Coronacases,0.9995,387,8,3,381,3,0.375
complete,coronacases_004,Coronacases,1.000001,0,8,0,0,0,0.0
complete,coronacases_008,Coronacases,0.1,264,33,1,263,0,0.030303030303030304
complete,coronacases_008,Coronacases,0.2,307,33,1,306,0,0.030303030303030304
complete,coronacases_008,Coronacases,0.3,385,33,1,384,0,0.030303030303030304
complete,coronacases_008,Coronacases,0.4,385,33,1,384,0,0.030303030303030304
complete,coronacases_008,Coronacases,0.5,484,33,1,483,0,0.030303030303030304
complete,coronacases_008,Coronacases,0.6,811,33,2,809,0,0.06060606060606061
complete,coronacases_008,Coronacases,0.7,629,33,2,627,0,0.06060606060606061
complete,coronacases_008,Coronacases,0.8,597,33,3,594,0,0.09090909090909091
complete,coronacases_008,Coronacases,0.85,583,33,4,579,0,0.12121212121212122
complete,coronacases_008,Coronacases,0.9,571,33,5,566,0,0.15151515151515152
complete,coronacases_008,Coronacases,0.925,562,33,6,556,0,0.18181818181818182
complete,coronacases_008,Coronacases,0.95,560,33,7,553,0,0.21212121212121213
complete,coronacases_008,Coronacases,0.96,610,33,7,603,0,0.21212121212121213
complete,coronacases_008,Coronacases,0.97,585,33,9,576,0,0.2727272727272727
complete,coronacases_008,Coronacases,0.98,592,33,12,580,0,0.36363636363636365
complete,coronacases_008,Coronacases,0.985,582,33,13,569,0,0.3939393939393939
complete,coronacases_008,Coronacases,0.99,583,33,16,567,0,0.48484848484848486
complete,coronacases_008,Coronacases,0.9925,595,33,18,577,0,0.5454545454545454
complete,coronacases_008,Coronacases,0.995,556,33,20,535,1,0.6060606060606061
complete,coronacases_008,Coronacases,0.9975,512,33,24,487,1,0.7272727272727273
complete,coronacases_008,Coronacases,0.999,389,33,26,363,0,0.7878787878787878
