condition,voxel_threshold,fp_total,fp_per_patient,macro_recall,pooled_recall,true_positives,eligible_references,mean_prediction_components
complete,0.1,1254,313.5,0.007575757575757576,0.012195121951219513,1,82,313.75
complete,0.2,1617,404.25,0.007575757575757576,0.012195121951219513,1,82,404.5
complete,0.3,1757,439.25,0.007575757575757576,0.012195121951219513,1,82,439.5
complete,0.4,1809,452.25,0.007575757575757576,0.012195121951219513,1,82,452.5
complete,0.5,2835,708.75,0.007575757575757576,0.012195121951219513,1,82,709.0
complete,0.6,3775,943.75,0.02408008658008658,0.036585365853658534,3,82,944.5
complete,0.7,3028,757.0,0.05223942723942724,0.06097560975609756,5,82,758.25
complete,0.8,2993,748.25,0.0969030969030969,0.10975609756097561,9,82,750.5
complete,0.85,3020,755.0,0.12233599733599734,0.14634146341463414,12,82,758.0
complete,0.9,2865,716.25,0.17901889776889776,0.1951219512195122,16,82,720.25
complete,0.925,2800,700.0,0.18659465534465533,0.2073170731707317,17,82,704.25
complete,0.95,2710,677.5,0.23125832500832505,0.25609756097560976,21,82,682.75
complete,0.96,2769,692.25,0.2491154678654679,0.2804878048780488,23,82,698.0
complete,0.97,2694,673.5,0.30444555444555443,0.32926829268292684,27,82,680.25
complete,0.98,2702,675.5,0.37627997002997005,0.4024390243902439,33,82,683.75
complete,0.985,2604,651.0,0.3749271561771562,0.4024390243902439,33,82,659.25
complete,0.99,2596,649.0,0.434742340992341,0.47560975609756095,39,82,659.0
complete,0.9925,2567,641.75,0.49865759240759233,0.524390243902439,43,82,652.75
complete,0.995,2478,619.5,0.5611992174492175,0.5853658536585366,48,82,632.0
complete,0.9975,2331,582.75,0.6285901598401599,0.6707317073170732,55,82,597.0
complete,0.999,1888,472.0,0.6526702464202464,0.7073170731707317,58,82,486.75
complete,0.9995,1451,362.75,0.6719010156510157,0.7195121951219512,59,82,378.25
complete,1.000001,0,0.0,0.0,0.0,0,82,0.0
pixel_dropout_matched_50,0.1,625,156.25,0.0,0.0,0,82,156.25
pixel_dropout_matched_50,0.2,997,249.25,0.0,0.0,0,82,249.25
pixel_dropout_matched_50,0.3,1297,324.25,0.0,0.0,0,82,324.25
pixel_dropout_matched_50,0.4,1611,402.75,0.0,0.0,0,82,402.75
pixel_dropout_matched_50,0.5,20398,5099.5,0.007575757575757576,0.012195121951219513,1,82,5099.75
pixel_dropout_matched_50,0.6,3912,978.0,0.015151515151515152,0.024390243902439025,2,82,978.5
pixel_dropout_matched_50,0.7,3587,896.75,0.06254162504162504,0.06097560975609756,5,82,898.0
