condition,curve_index,score_threshold,fp_total,fp_per_patient,true_positives,eligible_references,macro_recall,pooled_recall
complete,0,inf,0,0.0,0,82,0.0,0.0
complete,1,0.8783036470413208,1,0.25,0,82,0.0,0.0
complete,2,0.8609825372695923,2,0.5,0,82,0.0,0.0
complete,3,0.851726233959198,3,0.75,0,82,0.0,0.0
complete,4,0.843598484992981,4,1.0,0,82,0.0,0.0
complete,5,0.8368529677391052,5,1.25,0,82,0.0,0.0
complete,6,0.8339158296585083,6,1.5,0,82,0.0,0.0
complete,7,0.8283491134643555,7,1.75,0,82,0.0,0.0
complete,8,0.8279312252998352,8,2.0,0,82,0.0,0.0
complete,9,0.827072262763977,9,2.25,0,82,0.0,0.0
complete,10,0.8267412781715393,10,2.5,0,82,0.0,0.0
complete,11,0.825768768787384,11,2.75,0,82,0.0,0.0
complete,12,0.8245079517364502,12,3.0,0,82,0.0,0.0
complete,13,0.823963463306427,13,3.25,0,82,0.0,0.0
complete,14,0.8238233327865601,14,3.5,0,82,0.0,0.0
complete,15,0.8230405449867249,15,3.75,0,82,0.0,0.0
complete,16,0.821068286895752,15,3.75,1,82,0.007575757575757576,0.012195121951219513
complete,17,0.8151559829711914,16,4.0,1,82,0.007575757575757576,0.012195121951219513
complete,18,0.8117671608924866,17,4.25,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,0,inf,0,0.0,0,82,0.0,0.0
pixel_dropout_matched_50,1,0.8628556132316589,1,0.25,0,82,0.0,0.0
pixel_dropout_matched_50,2,0.8554452061653137,2,0.5,0,82,0.0,0.0
pixel_dropout_matched_50,3,0.8523898720741272,3,0.75,0,82,0.0,0.0
pixel_dropout_matched_50,4,0.8488950729370117,4,1.0,0,82,0.0,0.0
pixel_dropout_matched_50,5,0.8488364219665527,5,1.25,0,82,0.0,0.0
pixel_dropout_matched_50,6,0.8357272744178772,6,1.5,0,82,0.0,0.0
pixel_dropout_matched_50,7,0.8338713645935059,7,1.75,0,82,0.0,0.0
pixel_dropout_matched_50,8,0.8287416100502014,8,2.0,0,82,0.0,0.0
pixel_dropout_matched_50,9,0.8123319149017334,9,2.25,0,82,0.0,0.0
pixel_dropout_matched_50,10,0.80318683385849,10,2.5,0,82,0.0,0.0
pixel_dropout_matched_50,11,0.8030917644500732,10,2.5,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,12,0.7973479628562927,11,2.75,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,13,0.7957277297973633,12,3.0,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,14,0.7880811095237732,13,3.25,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,15,0.7854615449905396,14,3.5,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,16,0.7816275358200073,15,3.75,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,17,0.7809829711914062,16,4.0,1,82,0.007575757575757576,0.012195121951219513
pixel_dropout_matched_50,18,0.7786011695861816,17,4.25,1,82,0.007575757575757576,0.012195121951219513
component_natural_50,0,inf,0,0.0,0,82,0.0,0.0
component_natural_50,1,0.8699874877929688,1,0.25,0,82,0.0,0.0
component_natural_50,2,0.826710045337677,1,0.25,1,82,0.019230769230769232,0.012195121951219513
component_natural_50,3,0.8192331790924072,1,0.25,2,82,0.038461538461538464,0.024390243902439025
component_natural_50,4,0.8123081922531128,2,0.5,2,82,0.038461538461538464,0.024390243902439025
component_natural_50,5,0.807009220123291,2,0.5,3,82,0.04739010989010989,0.036585365853658534
component_natural_50,6,0.8052524328231812,3,0.75,3,82,0.04739010989010989,0.036585365853658534
component_natural_50,7,0.8013648390769958,4,1.0,3,82,0.04739010989010989,0.036585365853658534
component_natural_50,8,0.8005709648132324,5,1.25,3,82,0.04739010989010989,0.036585365853658534
component_natural_50,9,0.7980213761329651,6,1.5,3,82,0.04739010989010989,0.036585365853658534
component_natural_50,10,0.7963472008705139,7,1.75,3,82,0.04739010989010989,0.036585365853658534
