case_id,condition,sample_index,sampling_source,labelled_voxels,foreground_voxels,background_voxels,foreground_groups
coronacases_004,complete,0,random,74,55,19,6
coronacases_004,complete,1,background,19,1,18,1
coronacases_004,complete,2,random,23,14,9,1
coronacases_004,complete,3,random,9,0,9,0
coronacases_004,complete,4,foreground,62,61,1,8
coronacases_004,complete,5,foreground,57,56,1,7
coronacases_004,component_natural_50,0,background,18,0,18,0
coronacases_004,component_natural_50,1,foreground,26,25,1,3
coronacases_004,component_natural_50,2,foreground,26,25,1,3
coronacases_004,component_natural_50,3,foreground,41,30,11,4
coronacases_004,component_natural_50,4,background,45,25,20,3
coronacases_004,component_natural_50,5,foreground,26,25,1,3
coronacases_004,pixel_dropout_matched_50,0,foreground,29,28,1,7
coronacases_004,pixel_dropout_matched_50,1,foreground,31,30,1,8
coronacases_004,pixel_dropout_matched_50,2,foreground,29,28,1,7
coronacases_004,pixel_dropout_matched_50,3,foreground,29,28,1,7
coronacases_004,pixel_dropout_matched_50,4,foreground,29,28,1,7
coronacases_004,pixel_dropout_matched_50,5,random,39,28,11,7
coronacases_004,component_fixed_50,0,random,9,0,9,0
coronacases_004,component_fixed_50,1,random,40,30,10,4
coronacases_004,component_fixed_50,2,random,10,0,10,0
coronacases_004,component_fixed_50,3,foreground,27,25,2,3
coronacases_004,component_fixed_50,4,random,28,0,28,0
coronacases_004,component_fixed_50,5,foreground,26,25,1,3
coronacases_004,complete_fixed_50,0,foreground,37,26,11,7
coronacases_004,complete_fixed_50,1,foreground,25,23,2,7
coronacases_004,complete_fixed_50,2,background,19,1,18,1
coronacases_004,complete_fixed_50,3,random,29,1,28,1
coronacases_004,complete_fixed_50,4,random,35,25,10,7
coronacases_004,complete_fixed_50,5,foreground,34,24,10,6
coronacases_008,complete,0,foreground,193,106,87,18
coronacases_008,complete,1,random,145,96,49,10
coronacases_008,complete,2,foreground,178,94,84,16
coronacases_008,complete,3,background,143,84,59,13
coronacases_008,complete,4,foreground,146,96,50,10
coronacases_008,complete,5,background,210,125,85,18
coronacases_008,component_natural_50,0,random,93,34,59,7
coronacases_008,component_natural_50,1,foreground,131,47,84,9
coronacases_008,component_natural_50,2,foreground,113,37,76,6
coronacases_008,component_natural_50,3,random,103,36,67,5
coronacases_008,component_natural_50,4,foreground,94,34,60,7
coronacases_008,component_natural_50,5,foreground,79,40,39,3
coronacases_008,pixel_dropout_matched_50,0,random,118,45,73,13
coronacases_008,pixel_dropout_matched_50,1,foreground,104,28,76,8
coronacases_008,pixel_dropout_matched_50,2,foreground,145,67,78,17
coronacases_008,pixel_dropout_matched_50,3,background,121,34,87,9
coronacases_008,pixel_dropout_matched_50,4,background,116,32,84,8
coronacases_008,pixel_dropout_matched_50,5,foreground,130,46,84,14
coronacases_008,component_fixed_50,0,foreground,141,75,66,6
coronacases_008,component_fixed_50,1,foreground,169,93,76,6
coronacases_008,component_fixed_50,2,foreground,141,75,66,6
coronacases_008,component_fixed_50,3,foreground,154,70,84,9
coronacases_008,component_fixed_50,4,foreground,151,75,76,6
coronacases_008,component_fixed_50,5,background,123,84,39,4
coronacases_008,complete_fixed_50,0,random,115,80,35,11
coronacases_008,complete_fixed_50,1,random,212,131,81,21
coronacases_008,complete_fixed_50,2,foreground,159,72,87,10
coronacases_008,complete_fixed_50,3,foreground,132,82,50,10
coronacases_008,complete_fixed_50,4,random,156,96,60,16
coronacases_008,complete_fixed_50,5,background,180,102,78,16
radiopaedia_14_85914_0,complete,0,foreground,128,66,62,8
radiopaedia_14_85914_0,complete,1,foreground,155,101,54,11
radiopaedia_14_85914_0,complete,2,background,148,67,81,9
radiopaedia_14_85914_0,complete,3,background,125,96,29,10
radiopaedia_14_85914_0,complete,4,foreground,154,98,56,10
radiopaedia_14_85914_0,complete,5,random,154,77,77,11
radiopaedia_14_85914_0,component_natural_50,0,random,74,31,43,3
radiopaedia_14_85914_0,component_natural_50,1,foreground,40,27,13,4
radiopaedia_14_85914_0,component_natural_50,2,foreground,143,37,106,6
radiopaedia_14_85914_0,component_natural_50,3,random,93,28,65,4
radiopaedia_14_85914_0,component_natural_50,4,random,91,22,69,5
radiopaedia_14_85914_0,component_natural_50,5,foreground,142,37,105,6
radiopaedia_14_85914_0,pixel_dropout_matched_50,0,foreground,164,40,124,14
radiopaedia_14_85914_0,pixel_dropout_matched_50,1,random,127,34,93,11
radiopaedia_14_85914_0,pixel_dropout_matched_50,2,foreground,69,19,50,6
radiopaedia_14_85914_0,pixel_dropout_matched_50,3,foreground,128,34,94,11
radiopaedia_14_85914_0,pixel_dropout_matched_50,4,background,111,29,82,10
radiopaedia_14_85914_0,pixel_dropout_matched_50,5,foreground,133,31,102,10
radiopaedia_14_85914_0,component_fixed_50,0,foreground,175,76,99,6
radiopaedia_14_85914_0,component_fixed_50,1,background,127,98,29,5
radiopaedia_14_85914_0,component_fixed_50,2,random,115,76,39,4
radiopaedia_14_85914_0,component_fixed_50,3,foreground,103,76,27,4
radiopaedia_14_85914_0,component_fixed_50,4,random,90,51,39,3
radiopaedia_14_85914_0,component_fixed_50,5,background,111,82,29,4
radiopaedia_14_85914_0,complete_fixed_50,0,random,91,48,43,6
radiopaedia_14_85914_0,complete_fixed_50,1,foreground,178,73,105,11
radiopaedia_14_85914_0,complete_fixed_50,2,foreground,131,75,56,9
radiopaedia_14_85914_0,complete_fixed_50,3,foreground,169,65,104,10
radiopaedia_14_85914_0,complete_fixed_50,4,foreground,209,85,124,14
radiopaedia_14_85914_0,complete_fixed_50,5,random,63,36,27,5
radiopaedia_27_86410_0,complete,0,foreground,116,73,43,7
radiopaedia_27_86410_0,complete,1,foreground,120,89,31,8
radiopaedia_27_86410_0,complete,2,foreground,49,13,36,1
radiopaedia_27_86410_0,complete,3,foreground,49,13,36,1
radiopaedia_27_86410_0,complete,4,background,73,17,56,3
radiopaedia_27_86410_0,complete,5,foreground,86,56,30,5
radiopaedia_27_86410_0,component_natural_50,0,foreground,85,54,31,5
radiopaedia_27_86410_0,component_natural_50,1,background,48,0,48,0
radiopaedia_27_86410_0,component_natural_50,2,foreground,85,45,40,5
radiopaedia_27_86410_0,component_natural_50,3,foreground,78,48,30,5
radiopaedia_27_86410_0,component_natural_50,4,background,64,19,45,2
radiopaedia_27_86410_0,component_natural_50,5,random,21,0,21,0
radiopaedia_27_86410_0,pixel_dropout_matched_50,0,random,42,6,36,1
radiopaedia_27_86410_0,pixel_dropout_matched_50,1,background,88,1,87,1
radiopaedia_27_86410_0,pixel_dropout_matched_50,2,foreground,20,13,7,2
radiopaedia_27_86410_0,pixel_dropout_matched_50,3,foreground,89,43,46,7
radiopaedia_27_86410_0,pixel_dropout_matched_50,4,random,27,11,16,2
radiopaedia_27_86410_0,pixel_dropout_matched_50,5,foreground,87,43,44,7
radiopaedia_27_86410_0,component_fixed_50,0,background,87,0,87,0
radiopaedia_27_86410_0,component_fixed_50,1,foreground,144,93,51,5
radiopaedia_27_86410_0,component_fixed_50,2,foreground,125,94,31,5
radiopaedia_27_86410_0,component_fixed_50,3,foreground,118,88,30,5
radiopaedia_27_86410_0,component_fixed_50,4,foreground,43,36,7,1
radiopaedia_27_86410_0,component_fixed_50,5,random,35,13,22,1
radiopaedia_27_86410_0,complete_fixed_50,0,foreground,72,42,30,4
radiopaedia_27_86410_0,complete_fixed_50,1,background,72,31,41,4
radiopaedia_27_86410_0,complete_fixed_50,2,foreground,101,61,40,7
radiopaedia_27_86410_0,complete_fixed_50,3,background,86,10,76,1
radiopaedia_27_86410_0,complete_fixed_50,4,random,9,9,0,2
radiopaedia_27_86410_0,complete_fixed_50,5,background,53,5,48,1
