case_id,modality,relative_path,shape_x,shape_y,shape_z,zoom_x_mm,zoom_y_mm,zoom_z_mm,zoom_product_mm3,affine_det_abs_mm3,relative_error,sform_code,qform_code
coronacases_002,ct,ct_scans/coronacases_org_002.nii,512,512,200,0.68359375,0.68359375,1.5,0.7009506225585938,0.7009506225585938,0.0,2,0
coronacases_002,infection,infection_mask/coronacases_002.nii,512,512,200,0.68359375,0.68359375,1.5,0.7009506225585938,0.7009506225585938,0.0,1,2
coronacases_002,lung,lung_mask/coronacases_002.nii,512,512,200,0.68359375,0.68359375,1.5,0.7009506225585938,0.7009506225585938,0.0,1,2
coronacases_002,lung_and_infection,lung_and_infection_mask/coronacases_002.nii,512,512,200,0.68359375,0.68359375,1.5,0.7009506225585938,0.7009506225585938,0.0,1,2
coronacases_005,ct,ct_scans/coronacases_org_005.nii,512,512,290,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,2,0
coronacases_005,infection,infection_mask/coronacases_005.nii,512,512,290,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_005,lung,lung_mask/coronacases_005.nii,512,512,290,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
coronacases_005,lung_and_infection,lung_and_infection_mask/coronacases_005.nii,512,512,290,0.6835939884185791,0.6835939884185791,1.0,0.46730074100202046,0.46730074100202046,0.0,1,2
radiopaedia_29_86490_1,ct,ct_scans/radiopaedia_org_covid-19-pneumonia-29_86490_1-dcm.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,2,0
radiopaedia_29_86490_1,infection,infection_mask/radiopaedia_29_86490_1.nii,630,630,42,0.6835939884185791,0.6835939884185791,6.0,2.8038044460121228,2.8038044460121223,1.5838808247903838e-16,0,1
