case_id,source_origin,encoding,source_min,source_max,common_declared_window_hu_min,common_declared_window_hu_max,normalized_min,normalized_max,body_threshold_normalized,lung_air_threshold_normalized,provenance_rule
coronacases_002,Coronacases,raw_hu,-1023.0,9567.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_005,Coronacases,raw_hu,-1021.0,5528.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_29_86490_1,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_29_86491_1,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_010,Coronacases,raw_hu,-1021.0,1920.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_10_85902_1,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_10_85902_3,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_4_85506_1,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_006,Coronacases,raw_hu,-1023.0,2217.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_007,Coronacases,raw_hu,-1023.0,2515.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_36_86526_0,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_7_85703_0,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_001,Coronacases,raw_hu,-1021.0,2996.0,-1250.0,250.0,-0.69482421875,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_003,Coronacases,raw_hu,-1023.0,8931.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_009,Coronacases,raw_hu,-1021.0,1845.0,-1250.0,250.0,-0.69482421875,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_40_86625_0,Radiopaedia,documented_prewindowed_0_255,12.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_004,Coronacases,raw_hu,-1021.0,2020.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
coronacases_008,Coronacases,raw_hu,-1021.0,8575.0,-1250.0,250.0,-0.69482421875,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_14_85914_0,Radiopaedia,documented_prewindowed_0_255,0.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
radiopaedia_27_86410_0,Radiopaedia,documented_prewindowed_0_255,4.0,255.0,-1250.0,250.0,-1.0,1.0,-0.1333333333333333,0.24,source_origin_registry
