case_id,condition,cache_sample_firewall,patch_batch_firewall
coronacases_004,complete,PASS,PASS
coronacases_004,component_natural_50,PASS,PASS
coronacases_004,pixel_dropout_matched_50,PASS,PASS
coronacases_004,component_fixed_50,PASS,PASS
coronacases_004,complete_fixed_50,PASS,PASS
coronacases_008,complete,PASS,PASS
coronacases_008,component_natural_50,PASS,PASS
coronacases_008,pixel_dropout_matched_50,PASS,PASS
coronacases_008,component_fixed_50,PASS,PASS
coronacases_008,complete_fixed_50,PASS,PASS
radiopaedia_14_85914_0,complete,PASS,PASS
radiopaedia_14_85914_0,component_natural_50,PASS,PASS
radiopaedia_14_85914_0,pixel_dropout_matched_50,PASS,PASS
radiopaedia_14_85914_0,component_fixed_50,PASS,PASS
radiopaedia_14_85914_0,complete_fixed_50,PASS,PASS
radiopaedia_27_86410_0,complete,PASS,PASS
radiopaedia_27_86410_0,component_natural_50,PASS,PASS
radiopaedia_27_86410_0,pixel_dropout_matched_50,PASS,PASS
radiopaedia_27_86410_0,component_fixed_50,PASS,PASS
radiopaedia_27_86410_0,complete_fixed_50,PASS,PASS
