case_id,natural_fg,pixel_matched_fg,primary_fg_equal,primary_bg_equal,component_fixed_fg,complete_fixed_fg,fixed_fg_equal,fixed_bg_equal
coronacases_001,148,148,True,True,277,277,True,True
coronacases_002,132,132,True,True,261,261,True,True
coronacases_003,174,174,True,True,353,353,True,True
coronacases_004,30,30,True,True,30,30,True,True
coronacases_005,9,9,True,True,7,7,True,True
coronacases_006,14,14,True,True,30,30,True,True
coronacases_007,44,44,True,True,72,72,True,True
coronacases_008,124,124,True,True,213,213,True,True
coronacases_009,36,36,True,True,65,65,True,True
coronacases_010,27,27,True,True,53,53,True,True
radiopaedia_10_85902_1,12,12,True,True,13,13,True,True
radiopaedia_10_85902_3,12,12,True,True,19,19,True,True
radiopaedia_14_85914_0,90,90,True,True,203,203,True,True
radiopaedia_27_86410_0,72,72,True,True,134,134,True,True
radiopaedia_29_86490_1,2,2,True,True,2,2,True,True
radiopaedia_29_86491_1,16,16,True,True,16,16,True,True
radiopaedia_36_86526_0,164,164,True,True,240,240,True,True
radiopaedia_40_86625_0,61,61,True,True,96,96,True,True
radiopaedia_4_85506_1,94,94,True,True,159,159,True,True
radiopaedia_7_85703_0,25,25,True,True,46,46,True,True
