case_id,coverage,component_natural_training_fg,pixel_dropout_training_fg,natural_pixel_exact,component_fixed_training_fg,complete_fixed_training_fg,fixed_pair_exact
coronacases_001,75,243,269,False,319,314,False
coronacases_001,50,148,177,False,277,314,False
coronacases_001,25,84,121,False,211,305,False
coronacases_002,75,201,226,False,269,261,False
coronacases_002,50,132,160,False,275,261,False
coronacases_002,25,39,55,False,40,48,False
coronacases_003,75,271,296,False,354,353,False
coronacases_003,50,174,215,False,359,353,False
coronacases_003,25,83,112,False,268,260,False
coronacases_004,75,45,49,False,50,50,True
coronacases_004,50,30,32,False,30,31,False
coronacases_004,25,9,14,False,9,12,False
coronacases_005,75,20,20,True,19,20,False
coronacases_005,50,9,8,False,9,7,False
coronacases_005,25,3,4,False,3,3,True
coronacases_006,75,30,30,True,32,30,False
coronacases_006,50,14,18,False,31,30,False
coronacases_006,25,14,18,False,28,30,False
coronacases_007,75,54,61,False,74,72,False
coronacases_007,50,44,54,False,78,72,False
coronacases_007,25,28,33,False,75,72,False
coronacases_008,75,194,210,False,246,245,False
coronacases_008,50,124,151,False,213,245,False
coronacases_008,25,68,82,False,244,245,False
coronacases_009,75,44,54,False,65,65,True
coronacases_009,50,36,42,False,70,65,False
coronacases_009,25,19,23,False,68,65,False
coronacases_010,75,54,54,True,61,59,False
coronacases_010,50,27,33,False,53,59,False
coronacases_010,25,20,25,False,50,59,False
radiopaedia_10_85902_1,75,13,13,True,17,13,False
radiopaedia_10_85902_1,50,12,13,False,13,13,True
radiopaedia_10_85902_1,25,12,13,False,12,13,False
radiopaedia_10_85902_3,75,22,22,True,17,22,False
radiopaedia_10_85902_3,50,12,16,False,19,22,False
radiopaedia_10_85902_3,25,12,14,False,15,22,False
radiopaedia_14_85914_0,75,159,183,False,224,226,False
radiopaedia_14_85914_0,50,90,129,False,203,226,False
radiopaedia_14_85914_0,25,39,63,False,198,226,False
radiopaedia_27_86410_0,75,102,125,False,130,139,False
radiopaedia_27_86410_0,50,72,94,False,134,139,False
radiopaedia_27_86410_0,25,33,57,False,59,69,False
radiopaedia_29_86490_1,75,4,4,True,4,4,True
radiopaedia_29_86490_1,50,2,2,True,2,2,True
radiopaedia_29_86490_1,25,2,2,True,2,2,True
radiopaedia_29_86491_1,75,28,28,True,29,28,False
radiopaedia_29_86491_1,50,16,21,False,16,17,False
radiopaedia_29_86491_1,25,14,18,False,14,16,False
radiopaedia_36_86526_0,75,243,271,False,328,331,False
radiopaedia_36_86526_0,50,164,212,False,240,244,False
radiopaedia_36_86526_0,25,83,115,False,117,131,False
radiopaedia_40_86625_0,75,74,81,False,94,96,False
radiopaedia_40_86625_0,50,61,66,False,102,96,False
radiopaedia_40_86625_0,25,29,39,False,62,64,False
radiopaedia_4_85506_1,75,172,200,False,239,240,False
radiopaedia_4_85506_1,50,94,128,False,159,171,False
radiopaedia_4_85506_1,25,50,77,False,67,84,False
radiopaedia_7_85703_0,75,42,42,True,40,46,False
radiopaedia_7_85703_0,50,25,33,False,47,46,False
radiopaedia_7_85703_0,25,15,19,False,44,46,False
