case_id,coverage,natural_unique_fg,pixel_unique_fg,natural_pixel_exact,component_fixed_unique_fg,complete_fixed_unique_fg,fixed_pair_exact
coronacases_001,75,243,243,True,314,314,True
coronacases_001,50,148,148,True,277,277,True
coronacases_001,25,84,84,True,211,211,True
coronacases_002,75,201,201,True,261,261,True
coronacases_002,50,132,132,True,261,261,True
coronacases_002,25,39,39,True,40,40,True
coronacases_003,75,271,271,True,353,353,True
coronacases_003,50,174,174,True,353,353,True
coronacases_003,25,83,83,True,260,260,True
coronacases_004,75,45,45,True,50,50,True
coronacases_004,50,30,30,True,30,30,True
coronacases_004,25,9,9,True,9,9,True
coronacases_005,75,20,20,True,19,19,True
coronacases_005,50,9,9,True,7,7,True
coronacases_005,25,3,3,True,3,3,True
coronacases_006,75,30,30,True,30,30,True
coronacases_006,50,14,14,True,30,30,True
coronacases_006,25,14,14,True,28,28,True
coronacases_007,75,54,54,True,72,72,True
coronacases_007,50,44,44,True,72,72,True
coronacases_007,25,28,28,True,72,72,True
coronacases_008,75,194,194,True,245,245,True
coronacases_008,50,124,124,True,213,213,True
coronacases_008,25,68,68,True,244,244,True
coronacases_009,75,44,44,True,65,65,True
coronacases_009,50,36,36,True,65,65,True
coronacases_009,25,19,19,True,65,65,True
coronacases_010,75,54,54,True,59,59,True
coronacases_010,50,27,27,True,53,53,True
coronacases_010,25,20,20,True,50,50,True
radiopaedia_10_85902_1,75,13,13,True,13,13,True
radiopaedia_10_85902_1,50,12,12,True,13,13,True
radiopaedia_10_85902_1,25,12,12,True,12,12,True
radiopaedia_10_85902_3,75,22,22,True,17,17,True
radiopaedia_10_85902_3,50,12,12,True,19,19,True
radiopaedia_10_85902_3,25,12,12,True,15,15,True
radiopaedia_14_85914_0,75,159,159,True,224,224,True
radiopaedia_14_85914_0,50,90,90,True,203,203,True
radiopaedia_14_85914_0,25,39,39,True,198,198,True
radiopaedia_27_86410_0,75,102,102,True,130,130,True
radiopaedia_27_86410_0,50,72,72,True,134,134,True
radiopaedia_27_86410_0,25,33,33,True,59,59,True
radiopaedia_29_86490_1,75,4,4,True,4,4,True
radiopaedia_29_86490_1,50,2,2,True,2,2,True
radiopaedia_29_86490_1,25,2,2,True,2,2,True
radiopaedia_29_86491_1,75,28,28,True,28,28,True
radiopaedia_29_86491_1,50,16,16,True,16,16,True
radiopaedia_29_86491_1,25,14,14,True,14,14,True
radiopaedia_36_86526_0,75,243,243,True,328,328,True
radiopaedia_36_86526_0,50,164,164,True,240,240,True
radiopaedia_36_86526_0,25,83,83,True,117,117,True
radiopaedia_40_86625_0,75,74,74,True,94,94,True
radiopaedia_40_86625_0,50,61,61,True,96,96,True
radiopaedia_40_86625_0,25,29,29,True,62,62,True
radiopaedia_4_85506_1,75,172,172,True,239,239,True
radiopaedia_4_85506_1,50,94,94,True,159,159,True
radiopaedia_4_85506_1,25,50,50,True,67,67,True
radiopaedia_7_85703_0,75,42,42,True,40,40,True
radiopaedia_7_85703_0,50,25,25,True,46,46,True
radiopaedia_7_85703_0,25,15,15,True,44,44,True
