case_id,coverage,component_fixed_unique_fg,complete_fixed_unique_fg,raw_pair_exact,shared_training_grid_target,component_fixed_groups,complete_fixed_groups,component_constructive_cover,complete_constructive_cover,component_side_feasible,complete_side_feasible,prospective_exact_pair_feasible,component_reason,complete_reason,component_voxel_reduction,complete_voxel_reduction,component_target_margin,complete_target_margin
coronacases_001,75,319,314,False,314,33,43,33,43,True,True,True,PASS,PASS,5,0,281,271
coronacases_001,50,277,314,False,277,22,43,22,43,True,True,True,PASS,PASS,0,37,255,234
coronacases_001,25,211,305,False,211,11,43,11,43,True,True,True,PASS,PASS,0,94,200,168
coronacases_002,75,269,261,False,261,21,27,21,27,True,True,True,PASS,PASS,8,0,240,234
coronacases_002,50,275,261,False,261,14,27,14,27,True,True,True,PASS,PASS,14,0,247,234
coronacases_002,25,40,48,False,40,7,27,7,27,True,True,True,PASS,PASS,0,8,33,13
coronacases_003,75,354,353,False,353,30,39,30,39,True,True,True,PASS,PASS,1,0,323,314
coronacases_003,50,359,353,False,353,20,39,20,39,True,True,True,PASS,PASS,6,0,333,314
coronacases_003,25,268,260,False,260,10,39,10,39,True,True,True,PASS,PASS,8,0,250,221
coronacases_004,75,50,50,True,50,6,8,6,8,True,True,True,PASS,PASS,0,0,44,42
coronacases_004,50,30,31,False,30,4,8,4,8,True,True,True,PASS,PASS,0,1,26,22
coronacases_004,25,9,12,False,9,2,8,2,8,True,True,True,PASS,PASS,0,3,7,1
coronacases_005,75,19,20,False,19,3,3,3,3,True,True,True,PASS,PASS,0,1,16,16
coronacases_005,50,9,7,False,7,2,3,2,3,True,True,True,PASS,PASS,2,0,5,4
coronacases_005,25,3,3,True,3,1,3,1,3,True,True,True,PASS,PASS,0,0,2,0
coronacases_006,75,32,30,False,30,2,2,2,2,True,True,True,PASS,PASS,2,0,28,28
coronacases_006,50,31,30,False,30,1,2,1,2,True,True,True,PASS,PASS,1,0,29,28
coronacases_006,25,28,30,False,28,1,2,1,2,True,True,True,PASS,PASS,0,2,27,26
coronacases_007,75,74,72,False,72,7,9,7,9,True,True,True,PASS,PASS,2,0,65,63
coronacases_007,50,78,72,False,72,5,9,5,9,True,True,True,PASS,PASS,6,0,67,63
coronacases_007,25,75,72,False,72,3,9,3,9,True,True,True,PASS,PASS,3,0,69,63
coronacases_008,75,246,245,False,245,25,33,25,33,True,True,True,PASS,PASS,1,0,220,212
coronacases_008,50,213,245,False,213,17,33,17,33,True,True,True,PASS,PASS,0,32,196,180
coronacases_008,25,244,245,False,244,9,33,9,33,True,True,True,PASS,PASS,0,1,235,211
coronacases_009,75,65,65,True,65,7,9,7,9,True,True,True,PASS,PASS,0,0,58,56
coronacases_009,50,70,65,False,65,5,9,5,9,True,True,True,PASS,PASS,5,0,60,56
coronacases_009,25,68,65,False,65,3,9,3,9,True,True,True,PASS,PASS,3,0,62,56
coronacases_010,75,61,59,False,59,5,6,5,6,True,True,True,PASS,PASS,2,0,54,53
coronacases_010,50,53,59,False,53,3,6,3,6,True,True,True,PASS,PASS,0,6,50,47
coronacases_010,25,50,59,False,50,2,6,2,6,True,True,True,PASS,PASS,0,9,48,44
radiopaedia_10_85902_1,75,17,13,False,13,2,2,2,2,True,True,True,PASS,PASS,4,0,11,11
radiopaedia_10_85902_1,50,13,13,True,13,1,2,1,2,True,True,True,PASS,PASS,0,0,12,11
radiopaedia_10_85902_1,25,12,13,False,12,1,2,1,2,True,True,True,PASS,PASS,0,1,11,10
radiopaedia_10_85902_3,75,17,22,False,17,2,2,2,2,True,True,True,PASS,PASS,0,5,15,15
radiopaedia_10_85902_3,50,19,22,False,19,1,2,1,2,True,True,True,PASS,PASS,0,3,18,17
radiopaedia_10_85902_3,25,15,22,False,15,1,2,1,2,True,True,True,PASS,PASS,0,7,14,13
radiopaedia_14_85914_0,75,224,226,False,224,21,28,21,28,True,True,True,PASS,PASS,0,2,203,196
radiopaedia_14_85914_0,50,203,226,False,203,14,28,14,28,True,True,True,PASS,PASS,0,23,189,175
radiopaedia_14_85914_0,25,198,226,False,198,7,28,7,28,True,True,True,PASS,PASS,0,28,191,170
radiopaedia_27_86410_0,75,130,139,False,130,10,13,10,13,True,True,True,PASS,PASS,0,9,120,117
radiopaedia_27_86410_0,50,134,139,False,134,7,13,7,13,True,True,True,PASS,PASS,0,5,127,121
radiopaedia_27_86410_0,25,59,69,False,59,4,13,4,13,True,True,True,PASS,PASS,0,10,55,46
radiopaedia_29_86490_1,75,4,4,True,4,2,2,2,2,True,True,True,PASS,PASS,0,0,2,2
radiopaedia_29_86490_1,50,2,2,True,2,1,2,1,2,True,True,True,PASS,PASS,0,0,1,0
radiopaedia_29_86490_1,25,2,2,True,2,1,2,1,2,True,True,True,PASS,PASS,0,0,1,0
radiopaedia_29_86491_1,75,29,28,False,28,3,3,3,3,True,True,True,PASS,PASS,1,0,25,25
