case_id,parent_sha256,v1_1_sha256,byte_identical
coronacases_001,e48b153b74ca8caa686bd4e558f642718a607b50db32687ce804930b089c8bb9,e48b153b74ca8caa686bd4e558f642718a607b50db32687ce804930b089c8bb9,True
coronacases_002,97f0e820f1e5c7080cfc1807d2c6bac71fb39140e26ff1b77c9151a3fcf1f56d,97f0e820f1e5c7080cfc1807d2c6bac71fb39140e26ff1b77c9151a3fcf1f56d,True
coronacases_003,7cee07f462b877de38afcdeb7c9e384784432ac16037386a623e39773c3778c7,7cee07f462b877de38afcdeb7c9e384784432ac16037386a623e39773c3778c7,True
coronacases_004,51814a5f39e90c90a327f34b341b520e6dd10f132993536953c3ca45bbff3c92,51814a5f39e90c90a327f34b341b520e6dd10f132993536953c3ca45bbff3c92,True
coronacases_005,032cc98dd1b7edcf7e4e3ccf0a0e35c294a1f03cc425a74f6142291b820c4b1b,032cc98dd1b7edcf7e4e3ccf0a0e35c294a1f03cc425a74f6142291b820c4b1b,True
coronacases_006,a7a399b6b5ea97416d00c7c749d5f5f6d562c5e4c0b9efe287e990a084afef10,a7a399b6b5ea97416d00c7c749d5f5f6d562c5e4c0b9efe287e990a084afef10,True
coronacases_007,0f9694195e9cae03dca7cd5210e5e16cbcbaebb584510a19dec67acb95d395d2,0f9694195e9cae03dca7cd5210e5e16cbcbaebb584510a19dec67acb95d395d2,True
coronacases_008,85bb2c8a271371bf57e878e9fab68f5fbcd32509f73a42114da1f7dd76c23127,85bb2c8a271371bf57e878e9fab68f5fbcd32509f73a42114da1f7dd76c23127,True
coronacases_009,d6a0b8a856039e27f084b914b7c29543991f51bee6ffc47872a9591470a106dc,d6a0b8a856039e27f084b914b7c29543991f51bee6ffc47872a9591470a106dc,True
coronacases_010,d52dfc517968e062c9bc167c6080991dcb4340baa21042797450412f69ffa53b,d52dfc517968e062c9bc167c6080991dcb4340baa21042797450412f69ffa53b,True
radiopaedia_10_85902_1,315972d80b46a09399f12b2cd6731c783a0eb1750af20bb3bd861995495961bd,315972d80b46a09399f12b2cd6731c783a0eb1750af20bb3bd861995495961bd,True
radiopaedia_10_85902_3,7e7c9c6f00931cc633a5e4c75fc662cc70ac12a2754021ec6a8424bc1403cfe5,7e7c9c6f00931cc633a5e4c75fc662cc70ac12a2754021ec6a8424bc1403cfe5,True
radiopaedia_14_85914_0,7231d9013e3b930f4edff7fdca9735747b88e7c29e30d66f2ea980d4331c8bbc,7231d9013e3b930f4edff7fdca9735747b88e7c29e30d66f2ea980d4331c8bbc,True
radiopaedia_27_86410_0,9b327449b69e0d56f5bffa694d80823d7e936d33251449349fd5490691a8f865,9b327449b69e0d56f5bffa694d80823d7e936d33251449349fd5490691a8f865,True
radiopaedia_29_86490_1,c0cb036eb9ecc0a19882c1cb7d5e69a9ca355ce975571d547d7f0343fafb5c26,c0cb036eb9ecc0a19882c1cb7d5e69a9ca355ce975571d547d7f0343fafb5c26,True
radiopaedia_29_86491_1,0b2bcf57b9e2e075a2127b68ce9903c8e6ca811c6ee8079dbd7299079652c89a,0b2bcf57b9e2e075a2127b68ce9903c8e6ca811c6ee8079dbd7299079652c89a,True
radiopaedia_36_86526_0,ae507f4d1b0e09dfc07e6f11ebdc9ba5c4b09b772a5a84cf22fe05bdeb5fe2c2,ae507f4d1b0e09dfc07e6f11ebdc9ba5c4b09b772a5a84cf22fe05bdeb5fe2c2,True
radiopaedia_40_86625_0,d42ae5d67b39594a4ae867aa442124d9ddc9e18210a653bd3b672768a388ec63,d42ae5d67b39594a4ae867aa442124d9ddc9e18210a653bd3b672768a388ec63,True
radiopaedia_4_85506_1,d4cb90ca8c2f86d8ff7312420c276a25f025b20ce97f47ffbf1e95a41b4a292d,d4cb90ca8c2f86d8ff7312420c276a25f025b20ce97f47ffbf1e95a41b4a292d,True
radiopaedia_7_85703_0,b181c913a931ac14e57169b53273a4892407a2e37d86af7e92dbccd4606a921b,b181c913a931ac14e57169b53273a4892407a2e37d86af7e92dbccd4606a921b,True
