source_subject_key,volume_count,source_origin,independence_unit,provenance_status,role,outer_fold
coronacases_002,1,Coronacases,True,singleton_source_group,final_outer_cv,0
coronacases_005,1,Coronacases,True,singleton_source_group,final_outer_cv,0
radiopaedia_case_29,2,Radiopaedia,True,conservatively_grouped_repeated_series,final_outer_cv,0
coronacases_010,1,Coronacases,True,singleton_source_group,final_outer_cv,1
radiopaedia_case_10,2,Radiopaedia,True,conservatively_grouped_repeated_series,final_outer_cv,1
radiopaedia_case_4,1,Radiopaedia,True,singleton_source_group,final_outer_cv,1
coronacases_006,1,Coronacases,True,singleton_source_group,final_outer_cv,2
coronacases_007,1,Coronacases,True,singleton_source_group,final_outer_cv,2
radiopaedia_case_36,1,Radiopaedia,True,singleton_source_group,final_outer_cv,2
radiopaedia_case_7,1,Radiopaedia,True,singleton_source_group,final_outer_cv,2
coronacases_001,1,Coronacases,True,singleton_source_group,final_outer_cv,3
coronacases_003,1,Coronacases,True,singleton_source_group,final_outer_cv,3
coronacases_009,1,Coronacases,True,singleton_source_group,final_outer_cv,3
radiopaedia_case_40,1,Radiopaedia,True,singleton_source_group,final_outer_cv,3
coronacases_004,1,Coronacases,True,singleton_source_group,permanent_development,
coronacases_008,1,Coronacases,True,singleton_source_group,permanent_development,
radiopaedia_case_14,1,Radiopaedia,True,singleton_source_group,permanent_development,
radiopaedia_case_27,1,Radiopaedia,True,singleton_source_group,permanent_development,
