case_id,role,K,selected_50,native_budget,C50_zero_raw,C50_geometry_degenerate,C100_zero_raw,C100_geometry_degenerate,strict_minimum_budget,strict_maximum_budget,strict_feasible,strict_selected_budget,strict_failure_reason,allocation_failures,geometry_selection_failures,cross_component_collisions,background_failures
coronacases_001,final_outer_cv,43,22,203,0,2,0,4,86,95,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,10,0,0,0
coronacases_002,final_outer_cv,27,14,280,0,1,0,2,54,114,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,61,0,0,0
coronacases_003,final_outer_cv,39,20,400,0,3,0,2,78,150,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,73,0,0,0
coronacases_004,permanent_development,8,4,80,0,2,0,0,16,14,False,,AGGREGATE_CAPACITY_BELOW_MINIMUM,0,0,0,0
coronacases_005,final_outer_cv,3,2,40,0,1,0,0,6,8,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,3,0,0,0
coronacases_006,final_outer_cv,2,1,20,0,0,0,0,4,10,True,10.0,PASS,0,0,0,0
coronacases_007,final_outer_cv,9,5,100,0,0,0,1,18,41,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,24,0,0,0
coronacases_008,permanent_development,33,17,202,0,3,0,2,66,75,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,10,0,0,0
coronacases_009,final_outer_cv,9,5,48,0,1,0,1,18,16,False,,AGGREGATE_CAPACITY_BELOW_MINIMUM,0,0,0,0
coronacases_010,final_outer_cv,6,3,60,0,0,0,0,12,20,True,20.0,PASS,0,0,0,0
radiopaedia_10_85902_1,final_outer_cv,2,1,20,0,0,0,0,4,4,True,4.0,PASS,0,0,0,0
radiopaedia_10_85902_3,final_outer_cv,2,1,20,0,0,0,0,4,7,True,7.0,PASS,0,0,0,0
radiopaedia_14_85914_0,permanent_development,28,14,280,0,1,0,1,56,114,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,59,0,0,0
radiopaedia_27_86410_0,permanent_development,13,7,140,0,0,0,0,26,53,True,53.0,PASS,0,0,0,0
radiopaedia_29_86490_1,final_outer_cv,2,1,20,0,1,0,1,4,0,False,,AGGREGATE_CAPACITY_BELOW_MINIMUM,0,0,0,0
radiopaedia_29_86491_1,final_outer_cv,3,2,40,0,0,0,0,6,12,True,12.0,PASS,0,0,0,0
radiopaedia_36_86526_0,final_outer_cv,33,17,249,0,1,0,1,66,91,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,26,0,0,0
radiopaedia_40_86625_0,final_outer_cv,12,6,83,0,1,0,2,24,31,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,8,0,0,0
radiopaedia_4_85506_1,final_outer_cv,30,15,294,0,3,0,1,60,81,False,,PER_COMPONENT_MINIMUM_CAPACITY_FAILURE,22,0,0,0
radiopaedia_7_85703_0,final_outer_cv,4,2,40,0,0,0,0,8,16,True,16.0,PASS,0,0,0,0
