case_id,role,eligible_components_K,selected_components_C50,selected_components_C100,globally_limited_components,C50_minimum,C100_minimum,C50_capacity_with_neutral_banks,C100_capacity_with_neutral_banks,mapped_BG_capacity,native_budget_cap,common_minimum,common_maximum,neutral_bank_aggregate_feasible
coronacases_001,final_outer_cv,43,22,43,4,42,82,180,338,203,203,82,180,True
coronacases_002,final_outer_cv,27,14,27,2,27,52,144,193,280,280,52,144,True
coronacases_003,final_outer_cv,39,20,39,4,37,74,261,329,400,400,74,261,True
coronacases_004,permanent_development,8,4,8,2,6,14,176,189,80,80,14,80,True
coronacases_005,final_outer_cv,3,2,3,1,3,5,89,95,40,40,5,40,True
coronacases_006,final_outer_cv,2,1,2,0,2,4,10,12,20,20,4,10,True
coronacases_007,final_outer_cv,9,5,9,1,10,17,41,117,100,100,17,41,True
coronacases_008,permanent_development,33,17,33,3,31,63,251,278,202,202,63,202,True
coronacases_009,final_outer_cv,9,5,9,1,9,17,66,72,48,48,17,48,True
coronacases_010,final_outer_cv,6,3,6,0,6,12,20,25,60,60,12,20,True
radiopaedia_10_85902_1,final_outer_cv,2,1,2,0,2,4,4,7,20,20,4,4,True
radiopaedia_10_85902_3,final_outer_cv,2,1,2,0,2,4,7,9,20,20,4,7,True
radiopaedia_14_85914_0,permanent_development,28,14,28,1,27,55,162,172,280,280,55,162,True
radiopaedia_27_86410_0,permanent_development,13,7,13,0,14,26,53,61,140,140,26,53,True
radiopaedia_29_86490_1,final_outer_cv,2,1,2,2,1,2,26,43,20,20,2,20,True
radiopaedia_29_86491_1,final_outer_cv,3,2,3,0,4,6,12,15,40,40,6,12,True
radiopaedia_36_86526_0,final_outer_cv,33,17,33,1,33,65,110,135,249,249,65,110,True
radiopaedia_40_86625_0,final_outer_cv,12,6,12,2,11,22,49,71,83,83,22,49,True
radiopaedia_4_85506_1,final_outer_cv,30,15,30,4,27,56,180,232,294,294,56,180,True
radiopaedia_7_85703_0,final_outer_cv,4,2,4,0,4,8,16,20,40,40,8,16,True
